服务器输出文件名	config_buff_effect.xml	根名称	ability	0	0	0	0		0		0	0																																												
客户端输出文件名	config_buff_effect.xml	项名称	root																																																					
buff ID	buff名称	中断or不中断	是否瞬时	是否可逆	是否可叠加	是否下线保存	持续时间(单位:秒)	 有效人数	效果1	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果2	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果3	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果4	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点	效果5	优先级	出现概率	作用对象类型	作用范围	距离（单位：米）	角度	参数值	时间点			
9	shaolin_skill01_lv9	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	11600	0	34	0	0	4	1	160000	0.525	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
10	shaolin_skill01_lv10	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	11800	0	34	0	0	4	1	160000	0.525	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
11	shaolin_skill01_lv11	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	12000	0	34	0	0	4	1	160000	0.525	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
12	shaolin_skill01_lv12	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	12200	0	34	0	0	4	1	160000	0.525	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
13	shaolin_skill01_lv13	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	12400	0	34	0	0	4	1	160000	0.525	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
14	shaolin_skill01_lv14	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	12600	0	34	0	0	4	1	160000	0.525	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
15	shaolin_skill01_lv15	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	12900	0	34	0	0	4	1	160000	0.525	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
16	shaolin_skill01_lv16	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	13200	0	34	0	0	4	1	160000	0.525	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
17	shaolin_skill01_lv17	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	13500	0	34	0	0	4	1	160000	0.525	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
18	shaolin_skill01_lv18	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	13800	0	34	0	0	4	1	160000	0.525	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
19	shaolin_skill01_lv19	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	14100	0	34	0	0	4	1	160000	0.525	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
20	shaolin_skill01_lv20	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	14400	0	34	0	0	4	1	160000	0.525	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
21	shaolin_skill01_lv21	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	14700	0	34	0	0	4	1	160000	0.525	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
22	shaolin_skill01_lv22	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	15000	0	34	0	0	4	1	160000	0.525	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
23	shaolin_skill01_lv23	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	15300	0	34	0	0	4	1	160000	0.525	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
24	shaolin_skill01_lv24	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	15600	0	34	0	0	4	1	160000	0.525	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
25	shaolin_skill01_lv25	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	15900	0	34	0	0	4	1	160000	0.525	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
26	shaolin_skill01_lv26	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	16200	0	34	0	0	4	1	160000	0.525	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
27	shaolin_skill01_lv27	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	16500	0	34	0	0	4	1	160000	0.525	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
28	shaolin_skill01_lv28	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	16800	0	34	0	0	4	1	160000	0.525	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
29	shaolin_skill01_lv29	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	17100	0	34	0	0	4	1	160000	0.525	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
30	shaolin_skill01_lv30	0	0	1	0	0	1	3	3	2	0	4	1	160000	0.525	17400	0	34	0	0	4	1	160000	0.525	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
31	shaolin_skill02_lv1	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	100	0	2	4	0	4	1	160000	0.525	100	1	34	0	0	4	1	160000	0.525	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
32	shaolin_skill02_lv2	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	102	0	2	4	0	4	1	160000	0.525	102	1	34	0	0	4	1	160000	0.525	102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
33	shaolin_skill02_lv3	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	104	0	2	4	0	4	1	160000	0.525	104	1	34	0	0	4	1	160000	0.525	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
34	shaolin_skill02_lv4	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	106	0	2	4	0	4	1	160000	0.525	106	1	34	0	0	4	1	160000	0.525	106	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
35	shaolin_skill02_lv5	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	108	0	2	4	0	4	1	160000	0.525	108	1	34	0	0	4	1	160000	0.525	108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
36	shaolin_skill02_lv6	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	110	0	2	4	0	4	1	160000	0.525	110	1	34	0	0	4	1	160000	0.525	110	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
37	shaolin_skill02_lv7	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	112	0	2	4	0	4	1	160000	0.525	112	1	34	0	0	4	1	160000	0.525	112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
38	shaolin_skill02_lv8	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	114	0	2	4	0	4	1	160000	0.525	114	1	34	0	0	4	1	160000	0.525	114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
39	shaolin_skill02_lv9	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	116	0	2	4	0	4	1	160000	0.525	116	1	34	0	0	4	1	160000	0.525	116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
40	shaolin_skill02_lv10	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	118	0	2	4	0	4	1	160000	0.525	118	1	34	0	0	4	1	160000	0.525	118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
41	shaolin_skill02_lv11	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	120	0	2	4	0	4	1	160000	0.525	120	1	34	0	0	4	1	160000	0.525	120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
42	shaolin_skill02_lv12	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	122	0	2	4	0	4	1	160000	0.525	122	1	34	0	0	4	1	160000	0.525	122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
43	shaolin_skill02_lv13	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	124	0	2	4	0	4	1	160000	0.525	124	1	34	0	0	4	1	160000	0.525	124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
44	shaolin_skill02_lv14	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	126	0	2	4	0	4	1	160000	0.525	126	1	34	0	0	4	1	160000	0.525	126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
45	shaolin_skill02_lv15	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	129	0	2	4	0	4	1	160000	0.525	129	1	34	0	0	4	1	160000	0.525	129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
46	shaolin_skill02_lv16	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	132	0	2	4	0	4	1	160000	0.525	132	1	34	0	0	4	1	160000	0.525	132	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
47	shaolin_skill02_lv17	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	135	0	2	4	0	4	1	160000	0.525	135	1	34	0	0	4	1	160000	0.525	135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
48	shaolin_skill02_lv18	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	138	0	2	4	0	4	1	160000	0.525	138	1	34	0	0	4	1	160000	0.525	138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
49	shaolin_skill02_lv19	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	141	0	2	4	0	4	1	160000	0.525	141	1	34	0	0	4	1	160000	0.525	141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
50	shaolin_skill02_lv20	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	144	0	2	4	0	4	1	160000	0.525	144	1	34	0	0	4	1	160000	0.525	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
51	shaolin_skill02_lv21	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	147	0	2	4	0	4	1	160000	0.525	147	1	34	0	0	4	1	160000	0.525	147	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
52	shaolin_skill02_lv22	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	150	0	2	4	0	4	1	160000	0.525	150	1	34	0	0	4	1	160000	0.525	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
53	shaolin_skill02_lv23	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	153	0	2	4	0	4	1	160000	0.525	153	1	34	0	0	4	1	160000	0.525	153	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
54	shaolin_skill02_lv24	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	156	0	2	4	0	4	1	160000	0.525	156	1	34	0	0	4	1	160000	0.525	156	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
55	shaolin_skill02_lv25	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	159	0	2	4	0	4	1	160000	0.525	159	1	34	0	0	4	1	160000	0.525	159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
56	shaolin_skill02_lv26	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	162	0	2	4	0	4	1	160000	0.525	162	1	34	0	0	4	1	160000	0.525	162	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
57	shaolin_skill02_lv27	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	165	0	2	4	0	4	1	160000	0.525	165	1	34	0	0	4	1	160000	0.525	165	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
58	shaolin_skill02_lv28	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	168	0	2	4	0	4	1	160000	0.525	168	1	34	0	0	4	1	160000	0.525	168	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
59	shaolin_skill02_lv29	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	171	0	2	4	0	4	1	160000	0.525	171	1	34	0	0	4	1	160000	0.525	171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
60	shaolin_skill02_lv30	0	0	1	0	0	2	3	1	1	0	4	2	40000	0.525	174	0	2	4	0	4	1	160000	0.525	174	1	34	0	0	4	1	160000	0.525	174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
61	shaolin_skill03_lv1	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	100	0	4	3	0	4	1	90000	0.525	10000	1	34	0	0	4	1	160000	0.525	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
62	shaolin_skill03_lv2	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	102	0	4	3	0	4	1	90000	0.525	10200	1	34	0	0	4	1	160000	0.525	102	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
63	shaolin_skill03_lv3	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	104	0	4	3	0	4	1	90000	0.525	10400	1	34	0	0	4	1	160000	0.525	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
64	shaolin_skill03_lv4	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	106	0	4	3	0	4	1	90000	0.525	10600	1	34	0	0	4	1	160000	0.525	106	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
65	shaolin_skill03_lv5	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	108	0	4	3	0	4	1	90000	0.525	10800	1	34	0	0	4	1	160000	0.525	108	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
66	shaolin_skill03_lv6	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	110	0	4	3	0	4	1	90000	0.525	11000	1	34	0	0	4	1	160000	0.525	110	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
67	shaolin_skill03_lv7	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	112	0	4	3	0	4	1	90000	0.525	11200	1	34	0	0	4	1	160000	0.525	112	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
68	shaolin_skill03_lv8	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	114	0	4	3	0	4	1	90000	0.525	11400	1	34	0	0	4	1	160000	0.525	114	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
69	shaolin_skill03_lv9	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	116	0	4	3	0	4	1	90000	0.525	11600	1	34	0	0	4	1	160000	0.525	116	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
70	shaolin_skill03_lv10	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	118	0	4	3	0	4	1	90000	0.525	11800	1	34	0	0	4	1	160000	0.525	118	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
71	shaolin_skill03_lv11	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	120	0	4	3	0	4	1	90000	0.525	12000	1	34	0	0	4	1	160000	0.525	120	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
72	shaolin_skill03_lv12	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	122	0	4	3	0	4	1	90000	0.525	12200	1	34	0	0	4	1	160000	0.525	122	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
73	shaolin_skill03_lv13	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	124	0	4	3	0	4	1	90000	0.525	12400	1	34	0	0	4	1	160000	0.525	124	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
74	shaolin_skill03_lv14	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	126	0	4	3	0	4	1	90000	0.525	12600	1	34	0	0	4	1	160000	0.525	126	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
75	shaolin_skill03_lv15	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	129	0	4	3	0	4	1	90000	0.525	12900	1	34	0	0	4	1	160000	0.525	129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
76	shaolin_skill03_lv16	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	132	0	4	3	0	4	1	90000	0.525	13200	1	34	0	0	4	1	160000	0.525	132	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
77	shaolin_skill03_lv17	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	135	0	4	3	0	4	1	90000	0.525	13500	1	34	0	0	4	1	160000	0.525	135	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
78	shaolin_skill03_lv18	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	138	0	4	3	0	4	1	90000	0.525	13800	1	34	0	0	4	1	160000	0.525	138	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
79	shaolin_skill03_lv19	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	141	0	4	3	0	4	1	90000	0.525	14100	1	34	0	0	4	1	160000	0.525	141	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
80	shaolin_skill03_lv20	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	144	0	4	3	0	4	1	90000	0.525	14400	1	34	0	0	4	1	160000	0.525	144	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
81	shaolin_skill03_lv21	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	147	0	4	3	0	4	1	90000	0.525	14700	1	34	0	0	4	1	160000	0.525	147	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
82	shaolin_skill03_lv22	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	150	0	4	3	0	4	1	90000	0.525	15000	1	34	0	0	4	1	160000	0.525	150	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
83	shaolin_skill03_lv23	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	153	0	4	3	0	4	1	90000	0.525	15300	1	34	0	0	4	1	160000	0.525	153	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
84	shaolin_skill03_lv24	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	156	0	4	3	0	4	1	90000	0.525	15600	1	34	0	0	4	1	160000	0.525	156	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
85	shaolin_skill03_lv25	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	159	0	4	3	0	4	1	90000	0.525	15900	1	34	0	0	4	1	160000	0.525	159	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
86	shaolin_skill03_lv26	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	162	0	4	3	0	4	1	90000	0.525	16200	1	34	0	0	4	1	160000	0.525	162	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
87	shaolin_skill03_lv27	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	165	0	4	3	0	4	1	90000	0.525	16500	1	34	0	0	4	1	160000	0.525	165	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
88	shaolin_skill03_lv28	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	168	0	4	3	0	4	1	90000	0.525	16800	1	34	0	0	4	1	160000	0.525	168	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
89	shaolin_skill03_lv29	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	171	0	4	3	0	4	1	90000	0.525	17100	1	34	0	0	4	1	160000	0.525	171	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
90	shaolin_skill03_lv30	0	0	1	0	0	2	3	7	0	0	4	1	40000	0.525	174	0	4	3	0	4	1	90000	0.525	17400	1	34	0	0	4	1	160000	0.525	174	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
91	shaolin_skill04_lv1	0	0	1	0	0	1	3	23	0	0	1	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
92	shaolin_skill04_lv2	0	0	1	0	0	1	3	23	0	0	1	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
93	shaolin_skill04_lv3	0	0	1	0	0	1	3	23	0	0	1	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
94	shaolin_skill04_lv4	0	0	1	0	0	1	3	23	0	0	1	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
95	shaolin_skill04_lv5	0	0	1	0	0	1	3	23	0	0	1	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
96	shaolin_skill04_lv6	0	0	1	0	0	1	3	23	0	0	1	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
97	shaolin_skill04_lv7	0	0	1	0	0	1	3	23	0	0	1	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
98	shaolin_skill04_lv8	0	0	1	0	0	1	3	23	0	0	1	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
99	shaolin_skill04_lv9	0	0	1	0	0	1	3	23	0	0	1	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
100	shaolin_skill04_lv10	0	0	1	0	0	1	3	23	0	0	1	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
