服务器输出文件名	config_items.xml	根名称	ability																															
客户端输出文件名	config_items.xml	项名称	items																															
道具类型id	道具名	颜色	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	使用目标	使用类型	有效参数数量	作用类型0	作用值0	作用类型1	作用值1	作用类型2	作用值2	作用类型3	作用值3	作用类型4	作用值4	作用类型5	作用值5	作用类型6	作用值6	作用类型7	作用值7	作用类型8	作用值8	图标名称	
220610002	[0099ff]闭关心丹[-]	0099ff	[410303]闭关能得到5000经验[-]	2	0	11	99	36	0	0	99	1	1	1	2	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	
220610003	[0099ff]闭关心丹[-]	0099ff	[410303]闭关能得到5000经验[-]	2	0	11	99	36	0	2	99	1	1	1	2	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	
220710001	[0099ff]体力丹[-]	0099ff	[410303]打开后，可获得10点体力[-]	2	0	11	99	35	0	2	99	1	2	1	16	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	
220710002	[0099ff]体力丹[-]	0099ff	[410303]打开后，可获得30点体力[-]	2	0	11	99	35	0	1	99	1	2	1	16	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
220710003	[0099ff]体力丹[-]	0099ff	[410303]打开后，可获得50点体力[-]	2	0	11	99	35	0	3	99	1	2	1	16	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
220810001	[0099ff]真气丹[-]	0099ff	[410303]去升神器吧[-]	2	0	11	99	34	0	2	99	1	1	1	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
220810002	[0099ff]真气丹[-]	0099ff	[410303]去升神器吧[-]	2	0	11	99	34	0	0	99	1	1	1	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
220810003	[0099ff]真气丹[-]	0099ff	[410303]去升神器吧[-]	2	0	11	99	34	0	1	99	1	1	1	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
331000001	[00ff00]黄宝石[-]	00ff00	[410303]增加武功[-]	3	0	11	99	33	0	2	99	1	3	1	20	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
331000002	[0099ff]无暇黄宝石[-]	0099ff	[410303]增加武功[-]	3	0	11	99	33	0	0	99	1	3	1	20	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
331000003	[ce5dd4]完美黄宝石[-]	ce5dd4	[410303]增加武功[-]	3	0	11	99	33	0	3	99	1	3	1	20	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
331000004	[eeb508]璀璨黄宝石[-]	eeb508	[410303]增加武功[-]	3	0	11	99	33	0	1	99	1	5	1	20	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
331010001	[00ff00]绿宝石[-]	00ff00	[410303]增加身手[-]	3	0	11	99	32	0	2	99	1	3	1	21	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
331010002	[0099ff]无暇绿宝石[-]	0099ff	[410303]增加身手[-]	3	0	11	99	32	0	1	99	1	3	1	21	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
331010003	[ce5dd4]完美绿宝石[-]	ce5dd4	[410303]增加身手[-]	3	0	11	99	32	0	3	99	1	3	1	21	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
331010004	[eeb508]璀璨绿宝石[-]	eeb508	[410303]增加身手[-]	3	0	11	99	32	0	0	99	1	5	1	21	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	
331020001	[00ff00]蓝宝石[-]	00ff00	[410303]增加内力[-]	3	0	11	99	31	0	2	99	1	3	1	22	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	
331020002	[0099ff]无暇蓝宝石[-]	0099ff	[410303]增加内力[-]	3	0	11	99	31	0	3	99	1	3	1	22	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
331020003	[ce5dd4]完美蓝宝石[-]	ce5dd4	[410303]增加内力[-]	3	0	11	99	31	0	0	99	1	3	1	22	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	
331020004	[eeb508]璀璨蓝宝石[-]	eeb508	[410303]增加内力[-]	3	0	11	99	31	0	2	99	1	5	1	22	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	
331030001	[00ff00]沉默宝石[-]	00ff00	[410303]攻击有概率沉默对手[-]	3	0	11	99	30	0	1	99	1	3	1	123	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	
331030002	[0099ff]无暇沉默宝石[-]	0099ff	[410303]攻击有概率沉默对手[-]	3	0	11	99	30	0	3	99	1	3	1	123	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
331030003	[ce5dd4]完美沉默宝石[-]	ce5dd4	[410303]攻击有概率沉默对手[-]	3	0	11	99	30	0	1	99	1	3	1	123	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	
331030004	[eeb508]璀璨沉默宝石[-]	eeb508	[410303]攻击有概率沉默对手[-]	3	0	11	99	30	0	0	99	1	5	1	123	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	
331040001	[00ff00]缓慢宝石[-]	00ff00	[410303]攻击有概率缓慢对手[-]	3	0	11	99	29	0	2	99	1	3	1	125	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	
331040002	[0099ff]无暇缓慢宝石[-]	0099ff	[410303]攻击有概率缓慢对手[-]	3	0	11	99	29	0	1	99	1	3	1	125	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	
331040003	[ce5dd4]完美缓慢宝石[-]	ce5dd4	[410303]攻击有概率缓慢对手[-]	3	0	11	99	29	0	3	99	1	3	1	125	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	
331040004	[eeb508]璀璨缓慢宝石[-]	eeb508	[410303]攻击有概率缓慢对手[-]	3	0	11	99	29	0	2	99	1	5	1	125	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
331050001	[00ff00]流血宝石[-]	00ff00	[410303]攻击有概率引发流血[-]	3	0	11	99	28	0	3	99	1	3	1	127	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	
331050002	[0099ff]无暇流血宝石[-]	0099ff	[410303]攻击有概率引发流血[-]	3	0	11	99	28	0	0	99	1	3	1	127	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	
331050003	[ce5dd4]完美流血宝石[-]	ce5dd4	[410303]攻击有概率引发流血[-]	3	0	11	99	28	0	2	99	1	3	1	127	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	
331050004	[eeb508]璀璨流血宝石[-]	eeb508	[410303]攻击有概率引发流血[-]	3	0	11	99	28	0	1	99	1	5	1	127	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	
331060001	[00ff00]混乱宝石[-]	00ff00	[410303]攻击有概率引发混乱[-]	3	0	11	99	27	0	3	99	1	3	1	129	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	
331060002	[0099ff]无暇混乱宝石[-]	0099ff	[410303]攻击有概率引发混乱[-]	3	0	11	99	27	0	2	99	1	3	1	129	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	
331060003	[ce5dd4]完美混乱宝石[-]	ce5dd4	[410303]攻击有概率引发混乱[-]	3	0	11	99	27	0	3	99	1	3	1	129	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	
331060004	[eeb508]璀璨混乱宝石[-]	eeb508	[410303]攻击有概率引发混乱[-]	3	0	11	99	27	0	0	99	1	5	1	129	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
331070001	[00ff00]迷雾宝石[-]	00ff00	[410303]攻击有概率使对方触发迷雾[-]	3	0	11	99	26	0	1	99	1	3	1	131	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
331070002	[0099ff]无暇迷雾宝石[-]	0099ff	[410303]攻击有概率使对方触发迷雾[-]	3	0	11	99	26	0	1	99	1	3	1	131	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
331070003	[ce5dd4]完美迷雾宝石[-]	ce5dd4	[410303]攻击有概率使对方触发迷雾[-]	3	0	11	99	26	0	3	99	1	3	1	131	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
331070004	[eeb508]璀璨迷雾宝石[-]	eeb508	[410303]攻击有概率使对方触发迷雾[-]	3	0	11	99	26	0	0	99	1	5	1	131	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
331080001	[00ff00]抗沉默宝石[-]	00ff00	[410303]有概率抵消对手的沉默效果[-]	3	0	11	99	25	0	2	99	1	3	1	124	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
331080002	[0099ff]无暇抗沉默宝石[-]	0099ff	[410303]有概率抵消对手的沉默效果[-]	3	0	11	99	25	0	1	99	1	3	1	124	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
331080003	[ce5dd4]完美抗沉默宝石[-]	ce5dd4	[410303]有概率抵消对手的沉默效果[-]	3	0	11	99	25	0	3	99	1	3	1	124	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
331080004	[eeb508]璀璨抗沉默宝石[-]	eeb508	[410303]有概率抵消对手的沉默效果[-]	3	0	11	99	25	0	2	99	1	5	1	124	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
331090001	[00ff00]抗缓慢宝石[-]	00ff00	[410303]有概率抵消对手的缓慢效果[-]	3	0	11	99	24	0	1	99	1	3	1	126	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
331090002	[0099ff]无暇抗缓慢宝石[-]	0099ff	[410303]有概率抵消对手的缓慢效果[-]	3	0	11	99	24	0	1	99	1	3	1	126	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
331090003	[ce5dd4]完美抗缓慢宝石[-]	ce5dd4	[410303]有概率抵消对手的缓慢效果[-]	3	0	11	99	24	0	3	99	1	3	1	126	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
331090004	[eeb508]璀璨抗缓慢宝石[-]	eeb508	[410303]有概率抵消对手的缓慢效果[-]	3	0	11	99	24	0	2	99	1	5	1	126	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	
331100001	[00ff00]抗流血宝石[-]	00ff00	[410303]有概率抵消对手的流血效果[-]	3	0	11	99	23	0	3	99	1	3	1	128	6000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	
331100002	[0099ff]无暇抗流血宝石[-]	0099ff	[410303]有概率抵消对手的流血效果[-]	3	0	11	99	23	0	0	99	1	3	1	128	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
331100003	[ce5dd4]完美抗流血宝石[-]	ce5dd4	[410303]有概率抵消对手的流血效果[-]	3	0	11	99	23	0	0	99	1	3	1	128	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	
331100004	[eeb508]璀璨抗流血宝石[-]	eeb508	[410303]有概率抵消对手的流血效果[-]	3	0	11	99	23	0	2	99	1	5	1	128	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	
331110001	[00ff00]抗混乱宝石[-]	00ff00	[410303]有概率抵消对手的混乱效果[-]	3	0	11	99	22	0	1	99	1	3	1	130	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	
331110002	[0099ff]无暇抗混乱宝石[-]	0099ff	[410303]有概率抵消对手的混乱效果[-]	3	0	11	99	22	0	3	99	1	3	1	130	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
331110003	[ce5dd4]完美抗混乱宝石[-]	ce5dd4	[410303]有概率抵消对手的混乱效果[-]	3	0	11	99	22	0	0	99	1	3	1	130	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	
331110004	[eeb508]璀璨抗混乱宝石[-]	eeb508	[410303]有概率抵消对手的混乱效果[-]	3	0	11	99	22	0	2	99	1	5	1	130	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	
331120001	[00ff00]抗迷雾宝石[-]	00ff00	[410303]有概率抵消对手的迷雾效果[-]	3	0	11	99	21	0	1	99	1	3	1	132	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	
331120002	[0099ff]无暇抗迷雾宝石[-]	0099ff	[410303]有概率抵消对手的迷雾效果[-]	3	0	11	99	21	0	3	99	1	3	1	132	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	
331120003	[ce5dd4]完美抗迷雾宝石[-]	ce5dd4	[410303]有概率抵消对手的迷雾效果[-]	3	0	11	99	21	0	3	99	1	3	1	132	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	
331120004	[eeb508]璀璨抗迷雾宝石[-]	eeb508	[410303]有概率抵消对手的迷雾效果[-]	3	0	11	99	21	0	2	99	1	5	1	132	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	
222000001	[ce5dd4]飞剑乱舞[-]	ce5dd4	[410303]用招式攻击敌人并将范围敌人挑至浮空。[-]	2	0	11	99	20	0	0	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	
222000002	[ce5dd4]灵之剑[-]	ce5dd4	[410303]用剑气刺向前方照成伤害将目标击退[-]	2	0	11	99	20	0	1	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	
222000003	[ce5dd4]飓风剑[-]	ce5dd4	[410303]剑气攻击前方照成伤害使敌方眩晕[-]	2	0	11	99	20	0	3	99	3	1	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	
222000004	[ce5dd4]BUFF动作[-]	ce5dd4	[410303]增加自身暴击率[-]	2	0	11	99	20	0	2	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	
222000005	[ce5dd4]玉女御剑[-]	ce5dd4	[410303]空中对敌人进行打击照成伤害[-]	2	0	11	99	20	0	3	99	3	1	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	
222000006	[ce5dd4]玉女散花[-]	ce5dd4	[410303]对敌人进行伤害并击倒在地[-]	2	0	11	99	20	0	0	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	
222000007	[ce5dd4]脉冲剑[-]	ce5dd4	[410303]前冲攻击敌人照成伤害[-]	2	0	11	99	20	0	1	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	
222000008	[ce5dd4]伤之舞[-]	ce5dd4	[410303]对敌人连续攻击照成伤害击退敌方[-]	2	0	11	99	20	0	3	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
222000009	[ce5dd4]玉女剑法[-]	ce5dd4	[410303]对范围敌人照成巨大伤害[-]	2	0	11	99	20	0	1	99	3	1	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
222000010	[ce5dd4]黯然销魂掌[-]	ce5dd4	[410303]以绝妙掌法攻击敌人照成伤害[-]	2	0	11	99	20	0	0	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	
222000011	[ce5dd4]跃身技[-]	ce5dd4	[410303]倒地后，原地踢腿翻身起立[-]	2	0	11	99	20	0	2	99	3	1	0	0	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	
222000012	[ce5dd4]正龙棍[-]	ce5dd4	[410303]挥出武器照成伤害使目标处于浮空状态[-]	2	0	11	99	20	0	1	99	3	1	0	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
222000013	[ce5dd4]卧龙破[-]	ce5dd4	[410303]蓄力挥出重棍照成伤害把敌方目标击退[-]	2	0	11	99	20	0	3	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	
222000014	[ce5dd4]罗汉拳[-]	ce5dd4	[410303]打出拳法照成伤害再次挥拳把敌方击晕[-]	2	0	11	99	20	0	2	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	
222000015	[ce5dd4]BUFF动作[-]	ce5dd4	[410303]增加自身暴击率[-]	2	0	11	99	20	0	1	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	
222000016	[ce5dd4]幻佛聚灵[-]	ce5dd4	[410303]跃起对凌空目标进行光环攻击[-]	2	0	11	99	20	0	3	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	
222000017	[ce5dd4]千斤坠[-]	ce5dd4	[410303]跃身向下重击照成伤害给敌方击倒[-]	2	0	11	99	20	0	0	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	
222000018	[ce5dd4]谁敢挡我[-]	ce5dd4	[410303]冲出一段距离并照成伤害[-]	2	0	11	99	20	0	2	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	
222000019	[ce5dd4]伏虎[-]	ce5dd4	[410303]以精妙棍法对敌人发动连击照成伤害击飞敌方[-]	2	0	11	99	20	0	3	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	
222000020	[ce5dd4]旋风[-]	ce5dd4	[410303]威力无比的旋风棍对范围敌人照成伤害[-]	2	0	11	99	20	0	1	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	
222000021	[ce5dd4]棍扫天下[-]	ce5dd4	[410303]旋转武器并挥出打击对手[-]	2	0	11	99	20	0	0	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	
222000022	[ce5dd4]旋腿起身[-]	ce5dd4	[410303]倒地后旋转飞起站立[-]	2	0	11	99	20	0	2	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	
222000023	[ce5dd4]连环腿[-]	ce5dd4	[410303]对着敌人踢出数腿后一腿把敌人挑飞[-]	2	0	11	99	20	0	3	99	3	1	0	0	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	
222000024	[ce5dd4]凌空琴[-]	ce5dd4	[410303]弹出强大琴音照成伤害巨大声波击退敌人[-]	2	0	11	99	20	0	0	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	
222000025	[ce5dd4]乱音[-]	ce5dd4	[410303]琴音对范围敌人照成伤害使敌人眩晕[-]	2	0	11	99	20	0	1	99	3	1	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	
222000026	[ce5dd4]BUFF动作[-]	ce5dd4	[410303]增加自身暴击率[-]	2	0	11	99	20	0	2	99	3	1	0	0	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	
222000027	[ce5dd4]幻魔琴-绝命[-]	ce5dd4	[410303]跃起用琴音攻击凌空目标[-]	2	0	11	99	20	0	0	99	3	1	0	0	3500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	
222000028	[ce5dd4]幻魔琴-伤[-]	ce5dd4	[410303]利用琴音拉近敌人照成伤害击倒敌人[-]	2	0	11	99	20	0	3	99	3	1	0	0	1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	
222000029	[ce5dd4]回旋琴[-]	ce5dd4	[410303]冲击对敌人照成伤害[-]	2	0	11	99	20	0	3	99	3	1	0	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	
