服务器输出文件名	config_treause_stage.xml	根名称	ability														
客户端输出文件名	config_treause_stage.xml	项名称	treause_stage														
升阶唯一ID	宝物ID	阶	孔序	激活当前孔需要的真气	int16当前加成类型	float当前加的值											
10010607	1001	6	7	5700	110	20											
10010608	1001	6	8	5800	111	60											
10010609	1001	6	9	5900	112	45											
10010610	1001	6	10	6000	113	35											
10010701	1001	7	1	6100	114	20											
10010702	1001	7	2	6200	115	25											
10010703	1001	7	3	6300	116	30											
10010704	1001	7	4	6400	117	50											
10010705	1001	7	5	6500	118	55											
10010706	1001	7	6	6600	119	70											
10010707	1001	7	7	6700	120	75											
10010708	1001	7	8	6800	121	85											
10010709	1001	7	9	6900	122	55											
10010710	1001	7	10	7000	20	20											
10010801	1001	8	1	7100	21	30											
10010802	1001	8	2	7200	22	20											
10010803	1001	8	3	7300	102	80											
10010804	1001	8	4	7400	103	30											
10010805	1001	8	5	7500	105	50											
10010806	1001	8	6	7600	106	20											
10010807	1001	8	7	7700	107	60											
10010808	1001	8	8	7800	108	10											
10010809	1001	8	9	7900	109	50											
10010810	1001	8	10	8000	110	20											
10010901	1001	9	1	8100	111	60											
10010902	1001	9	2	8200	112	45											
10010903	1001	9	3	8300	113	35											
10010904	1001	9	4	8400	114	20											
10010905	1001	9	5	8500	115	25											
10010906	1001	9	6	8600	116	30											
10010907	1001	9	7	8700	117	50											
10010908	1001	9	8	8800	118	55											
10010909	1001	9	9	8900	119	70											
10010910	1001	9	10	9000	120	75											
10011001	1001	10	1	9100	121	85											
10011002	1001	10	2	9200	122	55											
10011003	1001	10	3	9300	20	20											
10011004	1001	10	4	9400	21	30											
10011005	1001	10	5	9500	22	20											
10011006	1001	10	6	9600	102	80											
10011007	1001	10	7	9700	103	30											
10011008	1001	10	8	9800	105	50											
10011009	1001	10	9	9900	106	20											
10011010	1001	10	10	10000	107	60											
10020101	1002	1	1	10100	108	10											
10020102	1002	1	2	10200	109	50											
10020103	1002	1	3	10300	110	20											
10020104	1002	1	4	10400	111	60											
10020105	1002	1	5	10500	112	45											
10020106	1002	1	6	10600	113	35											
10020107	1002	1	7	10700	114	20											
10020108	1002	1	8	10800	115	25											
10020109	1002	1	9	10900	116	30											
10020110	1002	1	10	11000	117	50											
10020201	1002	2	1	11100	118	55											
10020202	1002	2	2	11200	119	70											
10020203	1002	2	3	11300	120	75											
10020204	1002	2	4	11400	121	85											
10020205	1002	2	5	11500	122	55											
10020206	1002	2	6	11600	20	20											
10020207	1002	2	7	11700	21	30											
10020208	1002	2	8	11800	22	20											
10020209	1002	2	9	11900	102	80											
10020210	1002	2	10	12000	103	30											
10020301	1002	3	1	12100	105	50											
10020302	1002	3	2	12200	106	20											
10020303	1002	3	3	12300	107	60											
10020304	1002	3	4	12400	108	10											
10020305	1002	3	5	12500	109	50											
10020306	1002	3	6	12600	110	20											
10020307	1002	3	7	12700	111	60											
10020308	1002	3	8	12800	112	45											
10020309	1002	3	9	12900	113	35											
10020310	1002	3	10	13000	114	20											
10020401	1002	4	1	13100	115	25											
10020402	1002	4	2	13200	116	30											
10020403	1002	4	3	13300	117	50											
10020404	1002	4	4	13400	118	55											
10020405	1002	4	5	13500	119	70											
10020406	1002	4	6	13600	120	75											
10020407	1002	4	7	13700	121	85											
10020408	1002	4	8	13800	122	55											
10020409	1002	4	9	13900	20	20											
10020410	1002	4	10	14000	21	30											
10020501	1002	5	1	14100	22	20											
10020502	1002	5	2	14200	102	80											
10020503	1002	5	3	14300	103	30											
10020504	1002	5	4	14400	105	50											
10020505	1002	5	5	14500	106	20											
10020506	1002	5	6	14600	107	60											
10020507	1002	5	7	14700	108	10											
10020508	1002	5	8	14800	109	50											
10020509	1002	5	9	14900	110	20											
10020510	1002	5	10	15000	111	60											
10020601	1002	6	1	15100	112	45											
10020602	1002	6	2	15200	113	35											
10020603	1002	6	3	15300	114	20											
10020604	1002	6	4	15400	115	25											
10020605	1002	6	5	15500	116	30											
10020606	1002	6	6	15600	117	50											
10020607	1002	6	7	15700	118	55											
10020608	1002	6	8	15800	119	70											
10020609	1002	6	9	15900	120	75											
10020610	1002	6	10	16000	121	85											
10020701	1002	7	1	16100	122	55											
10020702	1002	7	2	16200	20	20											
10020703	1002	7	3	16300	21	30											
10020704	1002	7	4	16400	22	20											
10020705	1002	7	5	16500	102	80											
10020706	1002	7	6	16600	103	30											
10020707	1002	7	7	16700	105	50											
10020708	1002	7	8	16800	106	20											
10020709	1002	7	9	16900	107	60											
10020710	1002	7	10	17000	108	10											
10020801	1002	8	1	17100	109	50											
10020802	1002	8	2	17200	110	20											
10020803	1002	8	3	17300	111	60											
10020804	1002	8	4	17400	112	45											
10020805	1002	8	5	17500	113	35											
10020806	1002	8	6	17600	114	20											
10020807	1002	8	7	17700	115	25											
10020808	1002	8	8	17800	116	30											
10020809	1002	8	9	17900	117	50											
10020810	1002	8	10	18000	118	55											
10020901	1002	9	1	18100	119	70											
10020902	1002	9	2	18200	120	75											
10020903	1002	9	3	18300	121	85											
10020904	1002	9	4	18400	122	55											
10020905	1002	9	5	18500	20	20											
10020906	1002	9	6	18600	21	30											
10020907	1002	9	7	18700	22	20											
10020908	1002	9	8	18800	102	80											
10020909	1002	9	9	18900	103	30											
10020910	1002	9	10	19000	105	50											
10021001	1002	10	1	19100	106	20											
10021002	1002	10	2	19200	107	60											
10021003	1002	10	3	19300	108	10											
10021004	1002	10	4	19400	109	50											
10021005	1002	10	5	19500	110	20											
10021006	1002	10	6	19600	111	60											
10021007	1002	10	7	19700	112	45											
10021008	1002	10	8	19800	113	35											
10021009	1002	10	9	19900	114	20											
10021010	1002	10	10	20000	115	25											
10030101	1003	1	1	20100	116	30											
10030102	1003	1	2	20200	117	50											
10030103	1003	1	3	20300	118	55											
10030104	1003	1	4	20400	119	70											
10030105	1003	1	5	20500	120	75											
10030106	1003	1	6	20600	121	85											
10030107	1003	1	7	20700	122	55											
10030108	1003	1	8	20800	20	20											
10030109	1003	1	9	20900	21	30											
10030110	1003	1	10	21000	22	20											
10030201	1003	2	1	21100	102	80											
10030202	1003	2	2	21200	103	30											
10030203	1003	2	3	21300	105	50											
10030204	1003	2	4	21400	106	20											
10030205	1003	2	5	21500	107	60											
10030206	1003	2	6	21600	108	10											
10030207	1003	2	7	21700	109	50											
10030208	1003	2	8	21800	110	20											
10030209	1003	2	9	21900	111	60											
10030210	1003	2	10	22000	112	45											
10030301	1003	3	1	22100	113	35											
10030302	1003	3	2	22200	114	20											
10030303	1003	3	3	22300	115	25											
10030304	1003	3	4	22400	116	30											
10030305	1003	3	5	22500	117	50											
10030306	1003	3	6	22600	118	55											
10030307	1003	3	7	22700	119	70											
10030308	1003	3	8	22800	120	75											
10030309	1003	3	9	22900	121	85											
10030310	1003	3	10	23000	122	55											
10030401	1003	4	1	23100	20	20											
10030402	1003	4	2	23200	21	30											
10030403	1003	4	3	23300	22	20											
10030404	1003	4	4	23400	102	80											
10030405	1003	4	5	23500	103	30											
10030406	1003	4	6	23600	105	50											
10030407	1003	4	7	23700	106	20											
10030408	1003	4	8	23800	107	60											
10030409	1003	4	9	23900	108	10											
10030410	1003	4	10	24000	109	50											
10030501	1003	5	1	24100	110	20											
10030502	1003	5	2	24200	111	60											
10030503	1003	5	3	24300	112	45											
10030504	1003	5	4	24400	113	35											
10030505	1003	5	5	24500	114	20											
10030506	1003	5	6	24600	115	25											
10030507	1003	5	7	24700	116	30											
10030508	1003	5	8	24800	117	50											
10030509	1003	5	9	24900	118	55											
10030510	1003	5	10	25000	119	70											
10030601	1003	6	1	25100	120	75											
10030602	1003	6	2	25200	121	85											
10030603	1003	6	3	25300	122	55											
10030604	1003	6	4	25400	20	20											
10030605	1003	6	5	25500	21	30											
10030606	1003	6	6	25600	22	20											
10030607	1003	6	7	25700	102	80											
10030608	1003	6	8	25800	103	30											
10030609	1003	6	9	25900	105	50											
10030610	1003	6	10	26000	106	20											
10030701	1003	7	1	26100	107	60											
10030702	1003	7	2	26200	108	10											
10030703	1003	7	3	26300	109	50											
10030704	1003	7	4	26400	110	20											
10030705	1003	7	5	26500	111	60											
10030706	1003	7	6	26600	112	45											
10030707	1003	7	7	26700	113	35											
10030708	1003	7	8	26800	114	20											
10030709	1003	7	9	26900	115	25											
10030710	1003	7	10	27000	116	30											
10030801	1003	8	1	27100	117	50											
10030802	1003	8	2	27200	118	55											
10030803	1003	8	3	27300	119	70											
10030804	1003	8	4	27400	120	75											
10030805	1003	8	5	27500	121	85											
10030806	1003	8	6	27600	122	55											
10030807	1003	8	7	27700	20	20											
10030808	1003	8	8	27800	21	30											
10030809	1003	8	9	27900	22	20											
10030810	1003	8	10	28000	102	80											
10030901	1003	9	1	28100	103	30											
10030902	1003	9	2	28200	105	50											
10030903	1003	9	3	28300	106	20											
10030904	1003	9	4	28400	107	60											
10030905	1003	9	5	28500	108	10											
10030906	1003	9	6	28600	109	50											
10030907	1003	9	7	28700	110	20											
10030908	1003	9	8	28800	111	60											
10030909	1003	9	9	28900	112	45											
10030910	1003	9	10	29000	113	35											
10031001	1003	10	1	29100	114	20											
10031002	1003	10	2	29200	115	25											
10031003	1003	10	3	29300	116	30											
10031004	1003	10	4	29400	117	50											
10031005	1003	10	5	29500	118	55											
10031006	1003	10	6	29600	119	70											
10031007	1003	10	7	29700	120	75											
10031008	1003	10	8	29800	121	85											
10031009	1003	10	9	29900	122	55											
10031010	1003	10	10	30000	20	20											
10040101	1004	1	1	30100	21	30											
10040102	1004	1	2	30200	22	20											
10040103	1004	1	3	30300	102	80											
10040104	1004	1	4	30400	103	30											
10040105	1004	1	5	30500	105	50											
10040106	1004	1	6	30600	106	20											
10040107	1004	1	7	30700	107	60											
10040108	1004	1	8	30800	108	10											
10040109	1004	1	9	30900	109	50											
10040110	1004	1	10	31000	110	20											
10040201	1004	2	1	31100	111	60											
10040202	1004	2	2	31200	112	45											
10040203	1004	2	3	31300	113	35											
10040204	1004	2	4	31400	114	20											
10040205	1004	2	5	31500	115	25											
10040206	1004	2	6	31600	116	30											
10040207	1004	2	7	31700	117	50											
10040208	1004	2	8	31800	118	55											
10040209	1004	2	9	31900	119	70											
10040210	1004	2	10	32000	120	75											
10040301	1004	3	1	32100	121	85											
10040302	1004	3	2	32200	122	55											
10040303	1004	3	3	32300	20	20											
10040304	1004	3	4	32400	21	30											
10040305	1004	3	5	32500	22	20											
10040306	1004	3	6	32600	102	80											
10040307	1004	3	7	32700	103	30											
10040308	1004	3	8	32800	105	50											
10040309	1004	3	9	32900	106	20											
10040310	1004	3	10	33000	107	60											
10040401	1004	4	1	33100	108	10											
10040402	1004	4	2	33200	109	50											
10040403	1004	4	3	33300	110	20											
10040404	1004	4	4	33400	111	60											
10040405	1004	4	5	33500	112	45											
10040406	1004	4	6	33600	113	35											
10040407	1004	4	7	33700	114	20											
10040408	1004	4	8	33800	115	25											
10040409	1004	4	9	33900	116	30											
10040410	1004	4	10	34000	117	50											
10040501	1004	5	1	34100	118	55											
10040502	1004	5	2	34200	119	70											
10040503	1004	5	3	34300	120	75											
10040504	1004	5	4	34400	121	85											
10040505	1004	5	5	34500	122	55											
10040506	1004	5	6	34600	20	20											
10040507	1004	5	7	34700	21	30											
10040508	1004	5	8	34800	22	20											
10040509	1004	5	9	34900	102	80											
10040510	1004	5	10	35000	103	30											
10040601	1004	6	1	35100	105	50											
10040602	1004	6	2	35200	106	20											
10040603	1004	6	3	35300	107	60											
10040604	1004	6	4	35400	108	10											
10040605	1004	6	5	35500	109	50											
10040606	1004	6	6	35600	110	20											
10040607	1004	6	7	35700	111	60											
10040608	1004	6	8	35800	112	45											
10040609	1004	6	9	35900	113	35											
10040610	1004	6	10	36000	114	20											
10040701	1004	7	1	36100	115	25											
10040702	1004	7	2	36200	116	30											
10040703	1004	7	3	36300	117	50											
10040704	1004	7	4	36400	118	55											
10040705	1004	7	5	36500	119	70											
10040706	1004	7	6	36600	120	75											
10040707	1004	7	7	36700	121	85											
10040708	1004	7	8	36800	122	55											
10040709	1004	7	9	36900	20	20											
10040710	1004	7	10	37000	21	30											
10040801	1004	8	1	37100	22	20											
10040802	1004	8	2	37200	102	80											
10040803	1004	8	3	37300	103	30											
10040804	1004	8	4	37400	105	50											
10040805	1004	8	5	37500	106	20											
10040806	1004	8	6	37600	107	60											
10040807	1004	8	7	37700	108	10											
10040808	1004	8	8	37800	109	50											
10040809	1004	8	9	37900	110	20											
10040810	1004	8	10	38000	111	60											
10040901	1004	9	1	38100	112	45											
10040902	1004	9	2	38200	113	35											
10040903	1004	9	3	38300	114	20											
10040904	1004	9	4	38400	115	25											
10040905	1004	9	5	38500	116	30											
10040906	1004	9	6	38600	117	50											
10040907	1004	9	7	38700	118	55											
10040908	1004	9	8	38800	119	70											
10040909	1004	9	9	38900	120	75											
10040910	1004	9	10	39000	121	85											
10041001	1004	10	1	39100	122	55											
10041002	1004	10	2	39200	20	20											
10041003	1004	10	3	39300	21	30											
10041004	1004	10	4	39400	22	20											
10041005	1004	10	5	39500	102	80											
10041006	1004	10	6	39600	103	30											
10041007	1004	10	7	39700	105	50											
10041008	1004	10	8	39800	106	20											
10041009	1004	10	9	39900	107	60											
10041010	1004	10	10	40000	108	10											
10050101	1005	1	1	40100	109	50											
10050102	1005	1	2	40200	110	20											
10050103	1005	1	3	40300	111	60											
10050104	1005	1	4	40400	112	45											
10050105	1005	1	5	40500	113	35											
10050106	1005	1	6	40600	114	20											
10050107	1005	1	7	40700	115	25											
10050108	1005	1	8	40800	116	30											
10050109	1005	1	9	40900	117	50											
10050110	1005	1	10	41000	118	55											
10050201	1005	2	1	41100	119	70											
10050202	1005	2	2	41200	120	75											
10050203	1005	2	3	41300	121	85											
10050204	1005	2	4	41400	122	55											
10050205	1005	2	5	41500	20	20											
10050206	1005	2	6	41600	21	30											
10050207	1005	2	7	41700	22	20											
10050208	1005	2	8	41800	102	80											
10050209	1005	2	9	41900	103	30											
10050210	1005	2	10	42000	105	50											
10050301	1005	3	1	42100	106	20											
10050302	1005	3	2	42200	107	60											
10050303	1005	3	3	42300	108	10											
10050304	1005	3	4	42400	109	50											
10050305	1005	3	5	42500	110	20											
10050306	1005	3	6	42600	111	60											
10050307	1005	3	7	42700	112	45											
10050308	1005	3	8	42800	113	35											
10050309	1005	3	9	42900	114	20											
10050310	1005	3	10	43000	115	25											
10050401	1005	4	1	43100	116	30											
10050402	1005	4	2	43200	117	50											
10050403	1005	4	3	43300	118	55											
10050404	1005	4	4	43400	119	70											
10050405	1005	4	5	43500	120	75											
10050406	1005	4	6	43600	121	85											
10050407	1005	4	7	43700	122	55											
10050408	1005	4	8	43800	20	20											
10050409	1005	4	9	43900	21	30											
10050410	1005	4	10	44000	22	20											
10050501	1005	5	1	44100	102	80											
10050502	1005	5	2	44200	103	30											
10050503	1005	5	3	44300	105	50											
10050504	1005	5	4	44400	106	20											
10050505	1005	5	5	44500	107	60											
10050506	1005	5	6	44600	108	10											
10050507	1005	5	7	44700	109	50											
10050508	1005	5	8	44800	110	20											
10050509	1005	5	9	44900	111	60											
10050510	1005	5	10	45000	112	45											
10050601	1005	6	1	45100	113	35											
10050602	1005	6	2	45200	114	20											
10050603	1005	6	3	45300	115	25											
10050604	1005	6	4	45400	116	30											
10050605	1005	6	5	45500	117	50											
10050606	1005	6	6	45600	118	55											
10050607	1005	6	7	45700	119	70											
10050608	1005	6	8	45800	120	75											
10050609	1005	6	9	45900	121	85											
10050610	1005	6	10	46000	122	55											
10050701	1005	7	1	46100	20	20											
10050702	1005	7	2	46200	21	30											
10050703	1005	7	3	46300	22	20											
10050704	1005	7	4	46400	102	80											
10050705	1005	7	5	46500	103	30											
10050706	1005	7	6	46600	105	50											
10050707	1005	7	7	46700	106	20											
10050708	1005	7	8	46800	107	60											
10050709	1005	7	9	46900	108	10											
10050710	1005	7	10	47000	109	50											
10050801	1005	8	1	47100	110	20											
10050802	1005	8	2	47200	111	60											
10050803	1005	8	3	47300	112	45											
10050804	1005	8	4	47400	113	35											
10050805	1005	8	5	47500	114	20											
10050806	1005	8	6	47600	115	25											
10050807	1005	8	7	47700	116	30											
10050808	1005	8	8	47800	117	50											
10050809	1005	8	9	47900	118	55											
10050810	1005	8	10	48000	119	70											
10050901	1005	9	1	48100	120	75											
10050902	1005	9	2	48200	121	85											
10050903	1005	9	3	48300	122	55											
10050904	1005	9	4	48400	20	20											
10050905	1005	9	5	48500	21	30											
10050906	1005	9	6	48600	22	20											
10050907	1005	9	7	48700	102	80											
10050908	1005	9	8	48800	103	30											
10050909	1005	9	9	48900	105	50											
10050910	1005	9	10	49000	106	20											
10051001	1005	10	1	49100	107	60											
10051002	1005	10	2	49200	108	10											
10051003	1005	10	3	49300	109	50											
10051004	1005	10	4	49400	110	20											
10051005	1005	10	5	49500	111	60											
10051006	1005	10	6	49600	112	45											
10051007	1005	10	7	49700	113	35											
10051008	1005	10	8	49800	114	20											
10051009	1005	10	9	49900	115	25											
10051010	1005	10	10	50000	116	30											
20010101	2001	1	1	100	20	50											
20010102	2001	1	2	200	21	55											
20010103	2001	1	3	300	22	70											
20010104	2001	1	4	400	102	75											
20010105	2001	1	5	500	103	85											
20010106	2001	1	6	600	105	55											
20010107	2001	1	7	700	106	20											
20010108	2001	1	8	800	107	30											
20010109	2001	1	9	900	108	20											
20010110	2001	1	10	1000	109	80											
20010201	2001	2	1	1100	110	30											
20010202	2001	2	2	1200	111	50											
20010203	2001	2	3	1300	112	20											
20010204	2001	2	4	1400	113	60											
20010205	2001	2	5	1500	114	10											
20010206	2001	2	6	1600	115	50											
20010207	2001	2	7	1700	116	20											
20010208	2001	2	8	1800	117	60											
20010209	2001	2	9	1900	118	45											
20010210	2001	2	10	2000	119	35											
20010301	2001	3	1	2100	120	20											
20010302	2001	3	2	2200	121	25											
20010303	2001	3	3	2300	122	30											
20010304	2001	3	4	2400	20	50											
20010305	2001	3	5	2500	21	55											
20010306	2001	3	6	2600	22	70											
20010307	2001	3	7	2700	102	75											
20010308	2001	3	8	2800	103	85											
20010309	2001	3	9	2900	105	55											
20010310	2001	3	10	3000	106	20											
20010401	2001	4	1	3100	107	30											
20010402	2001	4	2	3200	108	20											
20010403	2001	4	3	3300	109	80											
20010404	2001	4	4	3400	110	30											
20010405	2001	4	5	3500	111	50											
20010406	2001	4	6	3600	112	20											
20010407	2001	4	7	3700	113	60											
20010408	2001	4	8	3800	114	10											
20010409	2001	4	9	3900	115	50											
20010410	2001	4	10	4000	116	20											
20010501	2001	5	1	4100	117	60											
20010502	2001	5	2	4200	118	45											
20010503	2001	5	3	4300	119	35											
20010504	2001	5	4	4400	120	20											
20010505	2001	5	5	4500	121	25											
20010506	2001	5	6	4600	122	30											
20010507	2001	5	7	4700	20	50											
20010508	2001	5	8	4800	21	55											
20010509	2001	5	9	4900	22	70											
20010510	2001	5	10	5000	102	75											
20010601	2001	6	1	5100	103	85											
20010602	2001	6	2	5200	105	55											
20010603	2001	6	3	5300	106	20											
20010604	2001	6	4	5400	107	30											
20010605	2001	6	5	5500	108	20											
20010606	2001	6	6	5600	109	80											
20010607	2001	6	7	5700	110	30											
20010608	2001	6	8	5800	111	50											
20010609	2001	6	9	5900	112	20											
20010610	2001	6	10	6000	113	60											
20010701	2001	7	1	6100	114	10											
20010702	2001	7	2	6200	115	50											
20010703	2001	7	3	6300	116	20											
20010704	2001	7	4	6400	117	60											
20010705	2001	7	5	6500	118	45											
20010706	2001	7	6	6600	119	35											
20010707	2001	7	7	6700	120	20											
20010708	2001	7	8	6800	121	25											
20010709	2001	7	9	6900	122	30											
20010710	2001	7	10	7000	20	50											
20010801	2001	8	1	7100	21	55											
20010802	2001	8	2	7200	22	70											
20010803	2001	8	3	7300	102	75											
20010804	2001	8	4	7400	103	85											
20010805	2001	8	5	7500	105	55											
20010806	2001	8	6	7600	106	20											
20010807	2001	8	7	7700	107	30											
20010808	2001	8	8	7800	108	20											
20010809	2001	8	9	7900	109	80											
20010810	2001	8	10	8000	110	30											
20010901	2001	9	1	8100	111	50											
20010902	2001	9	2	8200	112	20											
20010903	2001	9	3	8300	113	60											
20010904	2001	9	4	8400	114	10											
20010905	2001	9	5	8500	115	50											
20010906	2001	9	6	8600	116	20											
20010907	2001	9	7	8700	117	60											
20010908	2001	9	8	8800	118	45											
20010909	2001	9	9	8900	119	35											
20010910	2001	9	10	9000	120	20											
20011001	2001	10	1	9100	121	25											
20011002	2001	10	2	9200	122	30											
20011003	2001	10	3	9300	20	50											
20011004	2001	10	4	9400	21	55											
20011005	2001	10	5	9500	22	70											
20011006	2001	10	6	9600	102	75											
20011007	2001	10	7	9700	103	85											
20011008	2001	10	8	9800	105	55											
20011009	2001	10	9	9900	106	20											
20011010	2001	10	10	10000	107	30											
20020101	2002	1	1	10100	108	20											
20020102	2002	1	2	10200	109	80											
20020103	2002	1	3	10300	110	30											
20020104	2002	1	4	10400	111	50											
20020105	2002	1	5	10500	112	20											
20020106	2002	1	6	10600	113	60											
20020107	2002	1	7	10700	114	10											
20020108	2002	1	8	10800	115	50											
20020109	2002	1	9	10900	116	20											
20020110	2002	1	10	11000	117	60											
20020201	2002	2	1	11100	118	45											
20020202	2002	2	2	11200	119	35											
20020203	2002	2	3	11300	120	20											
20020204	2002	2	4	11400	121	25											
20020205	2002	2	5	11500	122	30											
20020206	2002	2	6	11600	20	50											
20020207	2002	2	7	11700	21	55											
20020208	2002	2	8	11800	22	70											
20020209	2002	2	9	11900	102	75											
20020210	2002	2	10	12000	103	85											
20020301	2002	3	1	12100	105	55											
20020302	2002	3	2	12200	106	20											
20020303	2002	3	3	12300	107	30											
20020304	2002	3	4	12400	108	20											
20020305	2002	3	5	12500	109	80											
20020306	2002	3	6	12600	110	30											
20020307	2002	3	7	12700	111	50											
20020308	2002	3	8	12800	112	20											
20020309	2002	3	9	12900	113	60											
20020310	2002	3	10	13000	114	10											
20020401	2002	4	1	13100	115	50											
20020402	2002	4	2	13200	116	20											
20020403	2002	4	3	13300	117	60											
20020404	2002	4	4	13400	118	45											
20020405	2002	4	5	13500	119	35											
20020406	2002	4	6	13600	120	20											
20020407	2002	4	7	13700	121	25											
20020408	2002	4	8	13800	122	30											
20020409	2002	4	9	13900	20	50											
20020410	2002	4	10	14000	21	55											
20020501	2002	5	1	14100	22	70											
20020502	2002	5	2	14200	102	75											
20020503	2002	5	3	14300	103	85											
20020504	2002	5	4	14400	105	55											
20020505	2002	5	5	14500	106	20											
20020506	2002	5	6	14600	107	30											
20020507	2002	5	7	14700	108	20											
20020508	2002	5	8	14800	109	80											
20020509	2002	5	9	14900	110	30											
20020510	2002	5	10	15000	111	50											
20020601	2002	6	1	15100	112	20											
20020602	2002	6	2	15200	113	60											
20020603	2002	6	3	15300	114	10											
20020604	2002	6	4	15400	115	50											
20020605	2002	6	5	15500	116	20											
20020606	2002	6	6	15600	117	60											
20020607	2002	6	7	15700	118	45											
20020608	2002	6	8	15800	119	35											
20020609	2002	6	9	15900	120	20											
20020610	2002	6	10	16000	121	25											
20020701	2002	7	1	16100	122	30											
20020702	2002	7	2	16200	20	50											
20020703	2002	7	3	16300	21	55											
20020704	2002	7	4	16400	22	70											
20020705	2002	7	5	16500	102	75											
20020706	2002	7	6	16600	103	85											
20020707	2002	7	7	16700	105	55											
20020708	2002	7	8	16800	106	20											
20020709	2002	7	9	16900	107	30											
20020710	2002	7	10	17000	108	20											
20020801	2002	8	1	17100	109	80											
20020802	2002	8	2	17200	110	30											
20020803	2002	8	3	17300	111	50											
20020804	2002	8	4	17400	112	20											
20020805	2002	8	5	17500	113	60											
20020806	2002	8	6	17600	114	10											
20020807	2002	8	7	17700	115	50											
20020808	2002	8	8	17800	116	20											
20020809	2002	8	9	17900	117	60											
20020810	2002	8	10	18000	118	45											
20020901	2002	9	1	18100	119	35											
20020902	2002	9	2	18200	120	20											
20020903	2002	9	3	18300	121	25											
20020904	2002	9	4	18400	122	30											
20020905	2002	9	5	18500	20	50											
20020906	2002	9	6	18600	21	55											
20020907	2002	9	7	18700	22	70											
20020908	2002	9	8	18800	102	75											
20020909	2002	9	9	18900	103	85											
20020910	2002	9	10	19000	105	55											
20021001	2002	10	1	19100	106	20											
20021002	2002	10	2	19200	107	30											
20021003	2002	10	3	19300	108	20											
20021004	2002	10	4	19400	109	80											
20021005	2002	10	5	19500	110	30											
20021006	2002	10	6	19600	111	50											
20021007	2002	10	7	19700	112	20											
20021008	2002	10	8	19800	113	60											
20021009	2002	10	9	19900	114	10											
20021010	2002	10	10	20000	115	50											
20030101	2003	1	1	20100	116	20											
20030102	2003	1	2	20200	117	60											
20030103	2003	1	3	20300	118	45											
20030104	2003	1	4	20400	119	35											
20030105	2003	1	5	20500	120	20											
20030106	2003	1	6	20600	121	25											
20030107	2003	1	7	20700	122	30											
20030108	2003	1	8	20800	20	50											
20030109	2003	1	9	20900	21	55											
20030110	2003	1	10	21000	22	70											
20030201	2003	2	1	21100	102	75											
20030202	2003	2	2	21200	103	85											
20030203	2003	2	3	21300	105	55											
20030204	2003	2	4	21400	106	20											
20030205	2003	2	5	21500	107	30											
20030206	2003	2	6	21600	108	20											
20030207	2003	2	7	21700	109	80											
20030208	2003	2	8	21800	110	30											
20030209	2003	2	9	21900	111	50											
20030210	2003	2	10	22000	112	20											
20030301	2003	3	1	22100	113	60											
20030302	2003	3	2	22200	114	10											
20030303	2003	3	3	22300	115	50											
