服务器输出文件名	config_equip_wash_value.xml	根名称	ability																				
客户端输出文件名	config_equip_wash_value.xml	项名称	equip_wash_type																				
唯一idx	部位	品质(颜色)	属性类型	阶	随机数量	类型值1概率%	类型值1开始	类型值1结束	类型值2概率%	类型值2开始	类型值2结束	类型值3概率%	类型值3开始	类型值3结束	类型值4概率%	类型值4开始	类型值4结束	类型值5概率%	类型值5开始	类型值5结束			
11512007	1	5	120	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11512108	1	5	121	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11512209	1	5	122	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11511110	1	5	111	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
11511211	1	5	112	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12111301	2	1	113	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12111402	2	1	114	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12111503	2	1	115	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12111604	2	1	116	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12111705	2	1	117	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12111806	2	1	118	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12111907	2	1	119	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12112008	2	1	120	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12112109	2	1	121	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12112210	2	1	122	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12111111	2	1	111	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
12211201	2	2	112	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12211302	2	2	113	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12211403	2	2	114	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12211504	2	2	115	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12211605	2	2	116	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12211706	2	2	117	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12211807	2	2	118	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12211908	2	2	119	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12212009	2	2	120	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12212110	2	2	121	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12212211	2	2	122	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
12311101	2	3	111	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311202	2	3	112	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311303	2	3	113	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311404	2	3	114	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311505	2	3	115	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311606	2	3	116	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311707	2	3	117	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311808	2	3	118	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12311909	2	3	119	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12312010	2	3	120	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12312111	2	3	121	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
12412201	2	4	122	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411102	2	4	111	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411203	2	4	112	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411304	2	4	113	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411405	2	4	114	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411506	2	4	115	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411607	2	4	116	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411708	2	4	117	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411809	2	4	118	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12411910	2	4	119	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12412011	2	4	120	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
12512101	2	5	121	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12512202	2	5	122	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511103	2	5	111	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511204	2	5	112	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511305	2	5	113	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511406	2	5	114	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511507	2	5	115	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511608	2	5	116	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511709	2	5	117	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511810	2	5	118	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
12511911	2	5	119	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13112001	3	1	120	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13112102	3	1	121	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13112203	3	1	122	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111104	3	1	111	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111205	3	1	112	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111306	3	1	113	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111407	3	1	114	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111508	3	1	115	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111609	3	1	116	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111710	3	1	117	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13111811	3	1	118	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
13211901	3	2	119	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13212002	3	2	120	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13212103	3	2	121	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13212204	3	2	122	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13211105	3	2	111	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13211206	3	2	112	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13211307	3	2	113	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13211408	3	2	114	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13211509	3	2	115	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13211610	3	2	116	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13211711	3	2	117	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
13311801	3	3	118	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13311902	3	3	119	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13312003	3	3	120	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13312104	3	3	121	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13312205	3	3	122	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13311106	3	3	111	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13311207	3	3	112	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13311308	3	3	113	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13311409	3	3	114	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13311510	3	3	115	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13311611	3	3	116	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
13411701	3	4	117	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13411802	3	4	118	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13411903	3	4	119	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13412004	3	4	120	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13412105	3	4	121	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13412206	3	4	122	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13411107	3	4	111	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13411208	3	4	112	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13411309	3	4	113	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13411410	3	4	114	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13411511	3	4	115	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
13511601	3	5	116	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13511702	3	5	117	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13511803	3	5	118	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13511904	3	5	119	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13512005	3	5	120	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13512106	3	5	121	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13512207	3	5	122	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13511108	3	5	111	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13511209	3	5	112	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13511310	3	5	113	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
13511411	3	5	114	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14111501	4	1	115	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14111602	4	1	116	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14111703	4	1	117	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14111804	4	1	118	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14111905	4	1	119	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14112006	4	1	120	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14112107	4	1	121	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14112208	4	1	122	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14111109	4	1	111	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14111210	4	1	112	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14111311	4	1	113	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
14211401	4	2	114	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14211502	4	2	115	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14211603	4	2	116	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14211704	4	2	117	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14211805	4	2	118	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14211906	4	2	119	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14212007	4	2	120	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14212108	4	2	121	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14212209	4	2	122	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14211110	4	2	111	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14211211	4	2	112	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
14311301	4	3	113	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14311402	4	3	114	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14311503	4	3	115	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14311604	4	3	116	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14311705	4	3	117	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14311806	4	3	118	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14311907	4	3	119	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14312008	4	3	120	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14312109	4	3	121	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14312210	4	3	122	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14311111	4	3	111	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			3
14411201	4	4	112	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14411302	4	4	113	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14411403	4	4	114	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14411504	4	4	115	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14411605	4	4	116	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14411706	4	4	117	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14411807	4	4	118	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14411908	4	4	119	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14412009	4	4	120	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14412110	4	4	121	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14412211	4	4	122	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			4
14511101	4	5	111	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511202	4	5	112	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511303	4	5	113	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511404	4	5	114	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511505	4	5	115	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511606	4	5	116	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511707	4	5	117	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511808	4	5	118	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14511909	4	5	119	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14512010	4	5	120	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
14512111	4	5	121	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			5
15112201	5	1	122	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111102	5	1	111	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111203	5	1	112	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111304	5	1	113	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111405	5	1	114	5	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111506	5	1	115	6	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111607	5	1	116	7	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111708	5	1	117	8	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111809	5	1	118	9	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15111910	5	1	119	10	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15112011	5	1	120	11	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			1
15212101	5	2	121	1	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15212202	5	2	122	2	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211103	5	2	111	3	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
15211204	5	2	112	4	5	10	1	10	20	11	20	30	21	30	30	31	40	40	41	50			2
