服务器输出文件名	config_equip_base.xml	根名称	ability																																								
客户端输出文件名	config_equip_base.xml	项名称	equip_base																																								
装备类型id	名称	描述	主类型	要求等级	出售货币类型	出售货币数量	排序权重(大的排前面)	有效时间	标记	分组大小	职业要求	部位	资质	品质	阶	主属性类型	数值	武力	身手	内力	生命上限	生命回复	怒气上限	怒气回复	武攻	武防	内力	内防	暴击率:百份比	暴击伤害:百份比	格挡率:百份比	格挡值:百份比	闪避:百份比	命中:百份比	伤害减免:百份比	CD减免:百份比	近战减免:百份比	远程减免:百份比	击中生命回复	击杀怒气回复	装备图标名称	模型形象	模型发型
100230601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	7	0	3	1	4	0	2	3	6	107	614.25	6	7.8	9	0	0	0	0	614.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100230701	玄铁剑	持之亦几无敌于天下	1	120	12	10	7	0	3	1	4	0	2	3	7	107	737.1	7.2	9.36	10.8	0	0	0	0	737.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100230801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	7	0	3	1	4	0	2	3	8	107	859.95	8.4	10.92	12.6	0	0	0	0	859.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100230901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	7	0	3	1	4	0	2	3	9	107	982.8	9.6	12.48	14.4	0	0	0	0	982.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100231001	残月剑	月残过半，才出此剑	1	180	12	10	7	0	3	1	4	0	2	3	10	107	1105.65	10.8	14.04	16.2	0	0	0	0	1105.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100231101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	7	0	3	1	4	0	2	3	11	107	1228.5	12	15.6	18	0	0	0	0	1228.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100330101	铁剑	没什么特别的一把铁剑	1	10	12	10	7	0	3	1	4	0	3	3	1	107	87.75	0.6	0.96	0.9	0	0	0	0	87.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100330201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	7	0	3	1	4	0	3	3	2	107	175.5	1.2	1.92	1.8	0	0	0	0	175.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100330301	淑女剑	就像淑女的身材一样细	1	40	12	10	7	0	3	1	4	0	3	3	3	107	351	2.4	3.84	3.6	0	0	0	0	351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100330401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	7	0	3	1	4	0	3	3	4	107	526.5	3.6	5.76	5.4	0	0	0	0	526.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100330501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	7	0	3	1	4	0	3	3	5	107	702	4.8	7.68	7.2	0	0	0	0	702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100330601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	7	0	3	1	4	0	3	3	6	107	877.5	6	9.6	9	0	0	0	0	877.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100330701	玄铁剑	持之亦几无敌于天下	1	120	12	10	7	0	3	1	4	0	3	3	7	107	1053	7.2	11.52	10.8	0	0	0	0	1053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100330801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	7	0	3	1	4	0	3	3	8	107	1228.5	8.4	13.44	12.6	0	0	0	0	1228.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100330901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	7	0	3	1	4	0	3	3	9	107	1404	9.6	15.36	14.4	0	0	0	0	1404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100331001	残月剑	月残过半，才出此剑	1	180	12	10	7	0	3	1	4	0	3	3	10	107	1579.5	10.8	17.28	16.2	0	0	0	0	1579.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100331101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	7	0	3	1	4	0	3	3	11	107	1755	12	19.2	18	0	0	0	0	1755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100140101	铁剑	没什么特别的一把铁剑	1	10	12	10	6	0	3	1	4	0	1	4	1	107	48.75	0.6	0.24	0.36	0	0	0	0	48.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100140201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	6	0	3	1	4	0	1	4	2	107	97.5	1.2	0.48	0.72	0	0	0	0	97.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
100140301	淑女剑	就像淑女的身材一样细	1	40	12	10	6	0	3	1	4	0	1	4	3	107	195	2.4	0.96	1.44	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	4003	0
100140401	鱼肠剑	专诸置匕首于鱼腹中，以刺杀吴王僚	1	60	12	10	6	0	3	1	4	0	1	4	4	107	292.5	3.6	1.44	2.16	0	0	0	0	292.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	4004	0
100140501	凝碧剑	亮丽宝剑，杀人于亮光之间	1	80	12	10	6	0	3	1	4	0	1	4	5	107	390	4.8	1.92	2.88	0	0	0	0	390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	4005	0
100140601	玉女剑	双剑合壁，威力奇大，玉女剑为其一	1	100	12	10	6	0	3	1	4	0	1	4	6	107	487.5	6	2.4	3.6	0	0	0	0	487.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	4005	0
100140701	玄铁剑	持之亦几无敌于天下	1	120	12	10	6	0	3	1	4	0	1	4	7	107	585	7.2	2.88	4.32	0	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	4005	0
100140801	芙蓉剑	铜锡合金，是一把尊贵无双的剑	1	140	12	10	6	0	3	1	4	0	1	4	8	107	682.5	8.4	3.36	5.04	0	0	0	0	682.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	4005	0
100140901	千幻剑	挥出千道幻影，防不胜防	1	160	12	10	6	0	3	1	4	0	1	4	9	107	780	9.6	3.84	5.76	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	4005	0
100141001	残月剑	月残过半，才出此剑	1	180	12	10	6	0	3	1	4	0	1	4	10	107	877.5	10.8	4.32	6.48	0	0	0	0	877.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	4005	0
100141101	无形神剑	以无形胜有形，人剑合一	1	200	12	10	6	0	3	1	4	0	1	4	11	107	975	12	4.8	7.2	0	0	0	0	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	4005	0
100240101	铁剑	没什么特别的一把铁剑	1	10	12	10	6	0	3	1	4	0	2	4	1	107	68.25	0.6	0.78	0.36	0	0	0	0	68.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4001	0
100240201	软剑	材料好像很特殊，可以弯曲	1	20	12	10	6	0	3	1	4	0	2	4	2	107	136.5	1.2	1.56	0.72	0	0	0	0	136.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	4002	0
