服务器输出文件名	config_skill_effect.xml	根名称	ability																				
客户端输出文件名	config_skill_effect.xml	项名称	root																				
技能ID	下一级技能	前置技能	冷却时间 单位（秒）	buff1	作用对象类型	作用范围	距离（单位：米）	角度	buff2	作用对象	作用范围	W（单位：米）	L（单位：米）	所需消耗怒气	学习消耗	技能书数量	升级消耗类型	升级消耗	角色等级	技能名称	技能描述		
1015	1016	0	3	15	1	0	0	0	0	0	0	0	0	10	222000015	5	12	10	3	[e8947b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{15}[-][-]		
1016	1017	0	3	16	1	0	0	0	0	0	0	0	0	10	222000016	5	12	10	4	[e8948b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{16}[-][-]		
1017	1018	0	3	17	1	0	0	0	0	0	0	0	0	10	222000017	5	12	10	4	[e8949b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{17}[-][-]		
1018	1019	0	3	18	1	0	0	0	0	0	0	0	0	10	222000018	5	12	10	4	[e8950b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{18}[-][-]		
1019	1020	0	3	19	1	0	0	0	0	0	0	0	0	10	222000019	5	12	10	4	[e8951b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{19}[-][-]		
1020	1021	0	3	20	1	0	0	0	0	0	0	0	0	10	222000020	5	12	10	4	[e8952b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{20}[-][-]		
1021	1022	0	3	21	1	0	0	0	0	0	0	0	0	10	222000021	5	12	10	5	[e8953b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{21}[-][-]		
1022	1023	0	3	22	1	0	0	0	0	0	0	0	0	10	222000022	5	12	10	5	[e8954b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{22}[-][-]		
1023	1024	0	3	23	1	0	0	0	0	0	0	0	0	10	222000023	5	12	10	5	[e8955b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{23}[-][-]		
1024	1025	0	3	24	1	0	0	0	0	0	0	0	0	10	222000024	5	12	10	5	[e8956b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{24}[-][-]		
1025	1026	0	3	25	1	0	0	0	0	0	0	0	0	10	222000025	5	12	10	5	[e8957b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{25}[-][-]		
1026	1027	0	3	26	1	0	0	0	0	0	0	0	0	10	222000026	5	12	10	6	[e8958b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{26}[-][-]		
1027	1028	0	3	27	1	0	0	0	0	0	0	0	0	10	222000027	5	12	10	6	[e8959b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{27}[-][-]		
1028	1029	0	3	28	1	0	0	0	0	0	0	0	0	10	222000028	5	12	10	6	[e8960b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{28}[-][-]		
1029	1030	0	3	29	1	0	0	0	0	0	0	0	0	10	222000029	5	12	10	6	[e8961b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{29}[-][-]		
1030	1031	0	3	30	1	0	0	0	0	0	0	0	0	10	222000030	5	12	10	6	[e8962b]正龙棍[-]	[5b3504]挥出武器照成伤害[2c9450]{0}[-]使目标处于浮空状态[2c9450]{30}[-][-]		
1031	1032	0	3	1	1	0	0	0	0	0	0	0	0	10	222000031	5	12	10	7	[e8933b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{1}[-][-]		
1032	1033	0	3	2	1	0	0	0	0	0	0	0	0	10	222000032	5	12	10	7	[e8934b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{2}[-][-]		
1033	1034	0	3	3	1	0	0	0	0	0	0	0	0	10	222000033	5	12	10	7	[e8935b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{3}[-][-]		
1034	1035	0	3	4	1	0	0	0	0	0	0	0	0	10	222000034	5	12	10	7	[e8936b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{4}[-][-]		
1035	1036	0	3	5	1	0	0	0	0	0	0	0	0	10	222000035	5	12	10	7	[e8937b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{5}[-][-]		
1036	1037	0	3	6	1	0	0	0	0	0	0	0	0	10	222000036	5	12	10	8	[e8938b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{6}[-][-]		
1037	1038	0	3	7	1	0	0	0	0	0	0	0	0	10	222000037	5	12	10	8	[e8939b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{7}[-][-]		
1038	1039	0	3	8	1	0	0	0	0	0	0	0	0	10	222000038	5	12	10	8	[e8940b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{8}[-][-]		
1039	1040	0	3	9	1	0	0	0	0	0	0	0	0	10	222000039	5	12	10	8	[e8941b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{9}[-][-]		
1040	1041	0	3	10	1	0	0	0	0	0	0	0	0	10	222000040	5	12	10	8	[e8942b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{10}[-][-]		
1041	1042	0	3	11	1	0	0	0	0	0	0	0	0	10	222000041	5	12	10	9	[e8943b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{11}[-][-]		
1042	1043	0	3	12	1	0	0	0	0	0	0	0	0	10	222000042	5	12	10	9	[e8944b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{12}[-][-]		
1043	1044	0	3	13	1	0	0	0	0	0	0	0	0	10	222000043	5	12	10	9	[e8945b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{13}[-][-]		
1044	1045	0	3	14	1	0	0	0	0	0	0	0	0	10	222000044	5	12	10	9	[e8946b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{14}[-][-]		
1045	1046	0	3	15	1	0	0	0	0	0	0	0	0	10	222000045	5	12	10	9	[e8947b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{15}[-][-]		
1046	1047	0	3	16	1	0	0	0	0	0	0	0	0	10	222000046	5	12	10	10	[e8948b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{16}[-][-]		
1047	1048	0	3	17	1	0	0	0	0	0	0	0	0	10	222000047	5	12	10	10	[e8949b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{17}[-][-]		
1048	1049	0	3	18	1	0	0	0	0	0	0	0	0	10	222000048	5	12	10	10	[e8950b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{18}[-][-]		
1049	1050	0	3	19	1	0	0	0	0	0	0	0	0	10	222000049	5	12	10	10	[e8951b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{19}[-][-]		
1050	1051	0	3	20	1	0	0	0	0	0	0	0	0	10	222000050	5	12	10	10	[e8952b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{20}[-][-]		
1051	1052	0	3	21	1	0	0	0	0	0	0	0	0	10	222000051	5	12	10	11	[e8953b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{21}[-][-]		
1052	1053	0	3	22	1	0	0	0	0	0	0	0	0	10	222000052	5	12	10	11	[e8954b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{22}[-][-]		
1053	1054	0	3	23	1	0	0	0	0	0	0	0	0	10	222000053	5	12	10	11	[e8955b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{23}[-][-]		
1054	1055	0	3	24	1	0	0	0	0	0	0	0	0	10	222000054	5	12	10	11	[e8956b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{24}[-][-]		
1055	1056	0	3	25	1	0	0	0	0	0	0	0	0	10	222000055	5	12	10	11	[e8957b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{25}[-][-]		
1056	1057	0	3	26	1	0	0	0	0	0	0	0	0	10	222000056	5	12	10	12	[e8958b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{26}[-][-]		
1057	1058	0	3	27	1	0	0	0	0	0	0	0	0	10	222000057	5	12	10	12	[e8959b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{27}[-][-]		
1058	1059	0	3	28	1	0	0	0	0	0	0	0	0	10	222000058	5	12	10	12	[e8960b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{28}[-][-]		
1059	1060	0	3	29	1	0	0	0	0	0	0	0	0	10	222000059	5	12	10	12	[e8961b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{29}[-][-]		
1060	1061	0	3	30	1	0	0	0	0	0	0	0	0	10	222000060	5	12	10	12	[e8962b]卧龙破[-]	[5b3504]蓄力挥出重棍照成伤害[2c9450]{0}[-]把敌方目标击退[2c9450]{30}[-][-]		
1061	1062	0	3	1	1	0	0	0	0	0	0	0	0	10	222000061	5	12	10	13	[e8933b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{1}[-][-]		
1062	1063	0	3	2	1	0	0	0	0	0	0	0	0	10	222000062	5	12	10	13	[e8934b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{2}[-][-]		
1063	1064	0	3	3	1	0	0	0	0	0	0	0	0	10	222000063	5	12	10	13	[e8935b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{3}[-][-]		
1064	1065	0	3	4	1	0	0	0	0	0	0	0	0	10	222000064	5	12	10	13	[e8936b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{4}[-][-]		
1065	1066	0	3	5	1	0	0	0	0	0	0	0	0	10	222000001	5	12	10	13	[e8937b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{5}[-][-]		
1066	1067	0	3	6	1	0	0	0	0	0	0	0	0	10	222000002	5	12	10	14	[e8938b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{6}[-][-]		
1067	1068	0	3	7	1	0	0	0	0	0	0	0	0	10	222000003	5	12	10	14	[e8939b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{7}[-][-]		
1068	1069	0	3	8	1	0	0	0	0	0	0	0	0	10	222000004	5	12	10	14	[e8940b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{8}[-][-]		
1069	1070	0	3	9	1	0	0	0	0	0	0	0	0	10	222000005	5	12	10	14	[e8941b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{9}[-][-]		
1070	1071	0	3	10	1	0	0	0	0	0	0	0	0	10	222000006	5	12	10	14	[e8942b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{10}[-][-]		
1071	1072	0	3	11	1	0	0	0	0	0	0	0	0	10	222000007	5	12	10	15	[e8943b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{11}[-][-]		
1072	1073	0	3	12	1	0	0	0	0	0	0	0	0	10	222000008	5	12	10	15	[e8944b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{12}[-][-]		
1073	1074	0	3	13	1	0	0	0	0	0	0	0	0	10	222000009	5	12	10	15	[e8945b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{13}[-][-]		
1074	1075	0	3	14	1	0	0	0	0	0	0	0	0	10	222000010	5	12	10	15	[e8946b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{14}[-][-]		
1075	1076	0	3	15	1	0	0	0	0	0	0	0	0	10	222000011	5	12	10	15	[e8947b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{15}[-][-]		
1076	1077	0	3	16	1	0	0	0	0	0	0	0	0	10	222000012	5	12	10	16	[e8948b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{16}[-][-]		
1077	1078	0	3	17	1	0	0	0	0	0	0	0	0	10	222000013	5	12	10	16	[e8949b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{17}[-][-]		
1078	1079	0	3	18	1	0	0	0	0	0	0	0	0	10	222000014	5	12	10	16	[e8950b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{18}[-][-]		
1079	1080	0	3	19	1	0	0	0	0	0	0	0	0	10	222000015	5	12	10	16	[e8951b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{19}[-][-]		
1080	1081	0	3	20	1	0	0	0	0	0	0	0	0	10	222000016	5	12	10	16	[e8952b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{20}[-][-]		
1081	1082	0	3	21	1	0	0	0	0	0	0	0	0	10	222000017	5	12	10	17	[e8953b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{21}[-][-]		
1082	1083	0	3	22	1	0	0	0	0	0	0	0	0	10	222000018	5	12	10	17	[e8954b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{22}[-][-]		
1083	1084	0	3	23	1	0	0	0	0	0	0	0	0	10	222000019	5	12	10	17	[e8955b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{23}[-][-]		
1084	1085	0	3	24	1	0	0	0	0	0	0	0	0	10	222000020	5	12	10	17	[e8956b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{24}[-][-]		
1085	1086	0	3	25	1	0	0	0	0	0	0	0	0	10	222000021	5	12	10	17	[e8957b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{25}[-][-]		
1086	1087	0	3	26	1	0	0	0	0	0	0	0	0	10	222000022	5	12	10	18	[e8958b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{26}[-][-]		
1087	1088	0	3	27	1	0	0	0	0	0	0	0	0	10	222000023	5	12	10	18	[e8959b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{27}[-][-]		
1088	1089	0	3	28	1	0	0	0	0	0	0	0	0	10	222000024	5	12	10	18	[e8960b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{28}[-][-]		
1089	1090	0	3	29	1	0	0	0	0	0	0	0	0	10	222000025	5	12	10	18	[e8961b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{29}[-][-]		
1090	1091	0	3	30	1	0	0	0	0	0	0	0	0	10	222000026	5	12	10	18	[e8962b]罗汉拳[-]	[5b3504]打出拳法照成伤害[2c9450]{0}[-]再次挥拳把敌方击晕[2c9450]{30}[-][-]		
1091	1092	0	3	1	1	0	0	0	0	0	0	0	0	10	222000027	5	12	10	19	[e8933b]BUFF动作-灵佛[-]	[5b3504]]增加自身暴击率[-]		
1092	1093	0	3	2	1	0	0	0	0	0	0	0	0	10	222000028	5	12	10	19	[e8934b]BUFF动作-灵佛[-]	[5b3505]]增加自身暴击率[-]		
1093	1094	0	3	3	1	0	0	0	0	0	0	0	0	10	222000029	5	12	10	19	[e8935b]BUFF动作-灵佛[-]	[5b3506]]增加自身暴击率[-]		
1094	1095	0	3	4	1	0	0	0	0	0	0	0	0	10	222000030	5	12	10	19	[e8936b]BUFF动作-灵佛[-]	[5b3507]]增加自身暴击率[-]		
1095	1096	0	3	5	1	0	0	0	0	0	0	0	0	10	222000031	5	12	10	19	[e8937b]BUFF动作-灵佛[-]	[5b3508]]增加自身暴击率[-]		
1096	1097	0	3	6	1	0	0	0	0	0	0	0	0	10	222000032	5	12	10	20	[e8938b]BUFF动作-灵佛[-]	[5b3509]]增加自身暴击率[-]		
1097	1098	0	3	7	1	0	0	0	0	0	0	0	0	10	222000033	5	12	10	20	[e8939b]BUFF动作-灵佛[-]	[5b3510]]增加自身暴击率[-]		
1098	1099	0	3	8	1	0	0	0	0	0	0	0	0	10	222000034	5	12	10	20	[e8940b]BUFF动作-灵佛[-]	[5b3511]]增加自身暴击率[-]		
1099	1100	0	3	9	1	0	0	0	0	0	0	0	0	10	222000035	5	12	10	20	[e8941b]BUFF动作-灵佛[-]	[5b3512]]增加自身暴击率[-]		
1100	1101	0	3	10	1	0	0	0	0	0	0	0	0	10	222000036	5	12	10	20	[e8942b]BUFF动作-灵佛[-]	[5b3513]]增加自身暴击率[-]		
1101	1102	0	3	11	1	0	0	0	0	0	0	0	0	10	222000037	5	12	10	21	[e8943b]BUFF动作-灵佛[-]	[5b3514]]增加自身暴击率[-]		
1102	1103	0	3	12	1	0	0	0	0	0	0	0	0	10	222000038	5	12	10	21	[e8944b]BUFF动作-灵佛[-]	[5b3515]]增加自身暴击率[-]		
1103	1104	0	3	13	1	0	0	0	0	0	0	0	0	10	222000039	5	12	10	21	[e8945b]BUFF动作-灵佛[-]	[5b3516]]增加自身暴击率[-]		
1104	1105	0	3	14	1	0	0	0	0	0	0	0	0	10	222000040	5	12	10	21	[e8946b]BUFF动作-灵佛[-]	[5b3517]]增加自身暴击率[-]		
1105	1106	0	3	15	1	0	0	0	0	0	0	0	0	10	222000041	5	12	10	21	[e8947b]BUFF动作-灵佛[-]	[5b3518]]增加自身暴击率[-]		
1106	1107	0	3	16	1	0	0	0	0	0	0	0	0	10	222000042	5	12	10	22	[e8948b]BUFF动作-灵佛[-]	[5b3519]]增加自身暴击率[-]		
1107	1108	0	3	17	1	0	0	0	0	0	0	0	0	10	222000043	5	12	10	22	[e8949b]BUFF动作-灵佛[-]	[5b3520]]增加自身暴击率[-]		
1108	1109	0	3	18	1	0	0	0	0	0	0	0	0	10	222000044	5	12	10	22	[e8950b]BUFF动作-灵佛[-]	[5b3521]]增加自身暴击率[-]		
1109	1110	0	3	19	1	0	0	0	0	0	0	0	0	10	222000045	5	12	10	22	[e8951b]BUFF动作-灵佛[-]	[5b3522]]增加自身暴击率[-]		
1110	1111	0	3	20	1	0	0	0	0	0	0	0	0	10	222000046	5	12	10	22	[e8952b]BUFF动作-灵佛[-]	[5b3523]]增加自身暴击率[-]		
1111	1112	0	3	21	1	0	0	0	0	0	0	0	0	10	222000047	5	12	10	23	[e8953b]BUFF动作-灵佛[-]	[5b3524]]增加自身暴击率[-]		
1112	1113	0	3	22	1	0	0	0	0	0	0	0	0	10	222000048	5	12	10	23	[e8954b]BUFF动作-灵佛[-]	[5b3525]]增加自身暴击率[-]		
1113	1114	0	3	23	1	0	0	0	0	0	0	0	0	10	222000049	5	12	10	23	[e8955b]BUFF动作-灵佛[-]	[5b3526]]增加自身暴击率[-]		
1114	1115	0	3	24	1	0	0	0	0	0	0	0	0	10	222000050	5	12	10	23	[e8956b]BUFF动作-灵佛[-]	[5b3527]]增加自身暴击率[-]		
1115	1116	0	3	25	1	0	0	0	0	0	0	0	0	10	222000051	5	12	10	23	[e8957b]BUFF动作-灵佛[-]	[5b3528]]增加自身暴击率[-]		
1116	1117	0	3	26	1	0	0	0	0	0	0	0	0	10	222000052	5	12	10	24	[e8958b]BUFF动作-灵佛[-]	[5b3529]]增加自身暴击率[-]		
1117	1118	0	3	27	1	0	0	0	0	0	0	0	0	10	222000053	5	12	10	24	[e8959b]BUFF动作-灵佛[-]	[5b3530]]增加自身暴击率[-]		
1118	1119	0	3	28	1	0	0	0	0	0	0	0	0	10	222000054	5	12	10	24	[e8960b]BUFF动作-灵佛[-]	[5b3531]]增加自身暴击率[-]		
1119	1120	0	3	29	1	0	0	0	0	0	0	0	0	10	222000055	5	12	10	24	[e8961b]BUFF动作-灵佛[-]	[5b3532]]增加自身暴击率[-]		
1120	1121	0	3	30	1	0	0	0	0	0	0	0	0	10	222000056	5	12	10	24	[e8962b]BUFF动作-灵佛[-]	[5b3533]]增加自身暴击率[-]		
1121	1122	0	3	1	1	0	0	0	0	0	0	0	0	10	222000057	5	12	10	25	[e8933b]幻佛聚灵[-]	[5b3504]跃起对凌空目标进行光环攻击[2c9450]{0}[-][-]		
1122	1123	0	3	2	1	0	0	0	0	0	0	0	0	10	222000058	5	12	10	25	[e8934b]幻佛聚灵[-]	[5b3504]跃起对凌空目标进行光环攻击[2c9450]{1}[-][-]		
1123	1124	0	3	3	1	0	0	0	0	0	0	0	0	10	222000059	5	12	10	25	[e8935b]幻佛聚灵[-]	[5b3504]跃起对凌空目标进行光环攻击[2c9450]{2}[-][-]		
1124	1125	0	3	4	1	0	0	0	0	0	0	0	0	10	222000060	5	12	10	25	[e8936b]幻佛聚灵[-]	[5b3504]跃起对凌空目标进行光环攻击[2c9450]{3}[-][-]		
1125	1126	0	3	5	1	0	0	0	0	0	0	0	0	10	222000061	5	12	10	25	[e8937b]幻佛聚灵[-]	[5b3504]跃起对凌空目标进行光环攻击[2c9450]{4}[-][-]		
