服务器输出文件名	config_progress_base.xml	根名称	root																																							
客户端输出文件名	config_progress_base.xml	项名称	item																																							
关卡id	入口	场景id	启动要求接受任务id	通关条件	消耗体力	uint8普通奖励项数量	uint16普通奖励1类型	int32普通奖励1值	uint16普通奖励2类型	int32普通奖励2值	uint16普通奖励3类型	int32普通奖励3值	uint16普通奖励4类型	int32普通奖励4值	uint8物品奖励项数量	uint16物品奖励1类型	uint16物品奖励1值	uint16物品奖励2类型	uint16物品奖励2值	uint16物品奖励3类型	uint16物品奖励3值	uint16物品奖励4类型	uint16物品奖励4值	关卡出生X坐标	关卡出生Y坐标	关卡出生Z坐标	分段数	第1段终点X	第1段终点Y	第1段终点Z	第2段终点	第2段终点	第2段终点	第3段终点	第3段终点	第3段终点	第4段终点	第4段终点	第4段终点	第5段终点	第5段终点	第5段终点
118	10018	63002		0	5	3	2	710	12	950	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-193	1	-114	3	-217	1	-136	-250	1	-165	-299	1	-206	0	0	0	0	0	0
119	10019	63002		0	5	3	2	750	12	1000	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-319	5	-212	3	-381	2	-202	-447	12	-192	-479	6	-162	0	0	0	0	0	0
120	10020	63002		0	5	3	2	790	12	1050	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
121	10021	63002		0	5	3	2	830	12	1100	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
122	10022	63002		0	5	3	2	870	12	1150	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
123	10023	63002		0	5	3	2	910	12	1200	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
124	10024	63002		0	5	3	2	950	12	1250	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
125	10025	63002		0	5	3	2	990	12	1300	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
126	10026	63002		0	5	3	2	1030	12	1350	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
127	10027	63002		0	5	3	2	1070	12	1400	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
128	10028	63002		0	5	3	2	1110	12	1450	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
129	10029	63002		0	5	3	2	1150	12	1500	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
130	10030	63002		0	5	3	2	1190	12	1550	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0	-485	6	-150	2	-514	6	-76	-538	6	-14	0	0	0	0	0	0	0	0	0
131	10031	63003		0	5	4	2	1230	12	1600	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
132	10032	63003		0	5	4	2	1270	12	1650	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
133	10033	63003		0	5	4	2	1310	12	1700	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
134	10034	63003		0	5	4	2	1350	12	1750	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
135	10035	63003		0	5	4	2	1390	12	1800	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
136	10036	63003		0	5	4	2	1430	12	1850	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
137	10037	63003		0	5	4	2	1470	12	1900	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
138	10038	63003		0	5	4	2	1510	12	1950	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
139	10039	63003		0	5	4	2	1550	12	2000	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
140	10040	63003		0	5	4	2	1590	12	2050	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
141	10041	63003		0	5	4	2	1630	12	2100	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
142	10042	63003		0	5	4	2	1670	12	2150	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
143	10043	63003		0	5	4	2	1710	12	2200	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
144	10044	63003		0	5	4	2	1750	12	2250	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
145	10045	63003		0	5	4	2	1790	12	2300	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
146	10046	63004		0	5	5	2	1830	12	2350	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
147	10047	63004		0	5	5	2	1870	12	2400	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
148	10048	63004		0	5	5	2	1910	12	2450	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
149	10049	63004		0	5	5	2	1950	12	2500	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
150	10050	63004		0	5	5	2	1990	12	2550	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
151	10051	63004		0	5	5	2	2030	12	2600	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
152	10052	63004		0	5	5	2	2070	12	2650	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
153	10053	63004		0	5	5	2	2110	12	2700	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
154	10054	63004		0	5	5	2	2150	12	2750	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
155	10055	63004		0	5	5	2	2190	12	2800	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
156	10056	63004		0	5	5	2	2230	12	2850	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
157	10057	63004		0	5	5	2	2270	12	2900	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
158	10058	63004		0	5	5	2	2310	12	2950	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
159	10059	63004		0	5	5	2	2350	12	3000	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
160	10060	63004		0	5	5	2	2390	12	3050	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
161	10061	63005		0	5	6	2	2430	12	3100	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
162	10062	63005		0	5	6	2	2470	12	3150	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
163	10063	63005		0	5	6	2	2510	12	3200	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
164	10064	63005		0	5	6	2	2550	12	3250	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
165	10065	63005		0	5	6	2	2590	12	3300	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
166	10066	63005		0	5	6	2	2630	12	3350	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
167	10067	63005		0	5	6	2	2670	12	3400	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
168	10068	63005		0	5	6	2	2710	12	3450	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
169	10069	63005		0	5	6	2	2750	12	3500	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
170	10070	63005		0	5	6	2	2790	12	3550	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
171	10071	63005		0	5	6	2	2830	12	3600	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
172	10072	63005		0	5	6	2	2870	12	3650	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
173	10073	63005		0	5	6	2	2910	12	3700	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
174	10074	63005		0	5	6	2	2950	12	3750	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
175	10075	63005		0	5	6	2	2990	12	3800	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
176	10076	63006		0	5	7	2	3030	12	3850	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
177	10077	63006		0	5	7	2	3070	12	3900	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
178	10078	63006		0	5	7	2	3110	12	3950	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
179	10079	63006		0	5	7	2	3150	12	4000	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
180	10080	63006		0	5	7	2	3190	12	4050	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
181	10081	63006		0	5	7	2	3230	12	4100	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
182	10082	63006		0	5	7	2	3270	12	4150	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
183	10083	63006		0	5	7	2	3310	12	4200	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
184	10084	63006		0	5	7	2	3350	12	4250	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
185	10085	63006		0	5	7	2	3390	12	4300	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
186	10086	63006		0	5	7	2	3430	12	4350	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
187	10087	63006		0	5	7	2	3470	12	4400	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
188	10088	63006		0	5	7	2	3510	12	4450	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
189	10089	63006		0	5	7	2	3550	12	4500	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
190	10090	63006		0	5	7	2	3590	12	4550	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
191	10091	63007		0	5	8	2	3630	12	4600	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
192	10092	63007		0	5	8	2	3670	12	4650	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
193	10093	63007		0	5	8	2	3710	12	4700	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
194	10094	63007		0	5	8	2	3750	12	4750	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
195	10095	63007		0	5	8	2	3790	12	4800	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
196	10096	63007		0	5	8	2	3830	12	4850	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
197	10097	63007		0	5	8	2	3870	12	4900	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
198	10098	63007		0	5	8	2	3910	12	4950	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
199	10099	63007		0	5	8	2	3950	12	5000	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
200	10100	63007		0	5	8	2	3990	12	5050	0	0	0	0	2	220020001	1	220020002	1	0	0	0	0																			
