服务器输出文件名	config_hunt_treasure.xml	根名称	ability													
客户端输出文件名	config_hunt_treasure.xml	项名称	hunt_treasure													
位置	物品id	类型	取出的权重	获得权重	道具类型	对应数值	珍宝	等级索引								
50	100110201	2	1	1	1	1	0	0								
51	100110301	2	1	1	1	1	0	0								
52	101110101	2	1	1	1	1	0	0								
53	101110201	2	1	1	1	1	0	0								
54	101110301	2	1	1	1	1	0	0								
55	102110101	2	1	1	1	1	0	0								
56	102110201	2	1	1	1	1	0	0								
57	102110301	2	1	1	1	2	1	0								
58	103110101	2	1	1	1	2	1	0								
59	331000004	2	1	1	2	2	1	0								
60	331010004	2	1	1	2	2	1	0								
61	220310001	1	1	1	2	2	0	1								
62	220410001	1	1	1	2	2	0	1								
63	220510001	1	1	1	2	2	0	1								
64	220410001	1	1	1	2	2	0	1								
65	220510001	1	1	1	2	2	0	1								
66	220610001	1	1	1	2	2	0	1								
67	220710001	1	1	1	2	2	0	1								
68	220810001	1	1	1	2	2	0	1								
69	331000001	1	1	1	2	2	0	1								
70	331000002	1	1	1	2	2	0	1								
71	331010001	1	1	1	2	2	0	1								
72	331010002	1	1	1	2	2	0	1								
73	331020001	1	1	1	2	2	0	1								
74	331020002	1	1	1	2	2	0	1								
75	331030001	1	1	1	2	2	0	1								
76	331030002	1	1	1	2	2	0	1								
77	331040001	1	1	1	2	2	0	1								
78	331040002	1	1	1	2	2	0	1								
79	100110101	1	1	1	1	2	0	1								
80	100110201	1	1	1	1	2	0	1								
81	100110301	1	1	1	1	2	0	1								
82	101110101	1	1	1	1	2	0	1								
83	101110201	1	1	1	1	2	0	1								
84	101110301	1	1	1	1	2	0	1								
85	102110101	1	1	1	1	2	0	1								
86	102110201	1	1	1	1	2	0	1								
87	102110301	1	1	1	1	3	1	1								
88	103110101	1	1	1	1	3	1	1								
89	331000004	1	1	1	2	3	1	1								
90	331010004	1	1	1	2	3	1	1								
91	220310001	2	1	1	2	2	0	1								
92	220410001	2	1	1	2	2	0	1								
93	220510001	2	1	1	2	2	0	1								
94	220410001	2	1	1	2	2	0	1								
95	220510001	2	1	1	2	2	0	1								
96	220610001	2	1	1	2	2	0	1								
97	220710001	2	1	1	2	2	0	1								
98	220810001	2	1	1	2	2	0	1								
99	331000001	2	1	1	2	2	0	1								
100	331000002	2	1	1	2	2	0	1								
101	331010001	2	1	1	2	2	0	1								
102	331010002	2	1	1	2	2	0	1								
103	331020001	2	1	1	2	2	0	1								
104	331020002	2	1	1	2	2	0	1								
105	331030001	2	1	1	2	2	0	1								
106	331030002	2	1	1	2	2	0	1								
107	331040001	2	1	1	2	2	0	1								
108	331040002	2	1	1	2	2	0	1								
109	100110101	2	1	1	1	2	0	1								
110	100110201	2	1	1	1	2	0	1								
111	100110301	2	1	1	1	2	0	1								
112	101110101	2	1	1	1	2	0	1								
113	101110201	2	1	1	1	2	0	1								
114	101110301	2	1	1	1	2	0	1								
115	102110101	2	1	1	1	2	0	1								
116	102110201	2	1	1	1	2	0	1								
117	102110301	2	1	1	1	3	1	1								
118	103110101	2	1	1	1	3	1	1								
119	331000004	2	1	1	2	3	1	1								
120	331010004	2	1	1	2	3	1	1								
121	220310001	1	1	1	2	3	0	2								
122	220410001	1	1	1	2	3	0	2								
123	220510001	1	1	1	2	3	0	2								
124	220410001	1	1	1	2	3	0	2								
125	220510001	1	1	1	2	3	0	2								
126	220610001	1	1	1	2	3	0	2								
127	220710001	1	1	1	2	3	0	2								
128	220810001	1	1	1	2	3	0	2								
129	331000001	1	1	1	2	3	0	2								
130	331000002	1	1	1	2	3	0	2								
131	331010001	1	1	1	2	3	0	2								
132	331010002	1	1	1	2	3	0	2								
133	331020001	1	1	1	2	3	0	2								
134	331020002	1	1	1	2	3	0	2								
135	331030001	1	1	1	2	3	0	2								
136	331030002	1	1	1	2	3	0	2								
137	331040001	1	1	1	2	3	0	2								
138	331040002	1	1	1	2	3	0	2								
139	100110101	1	1	1	1	3	0	2								
140	100110201	1	1	1	1	3	0	2								
141	100110301	1	1	1	1	3	0	2								
142	101110101	1	1	1	1	3	0	2								
143	101110201	1	1	1	1	3	0	2								
144	101110301	1	1	1	1	3	0	2								
145	102110101	1	1	1	1	3	0	2								
146	102110201	1	1	1	1	3	0	2								
147	102110301	1	1	1	1	4	1	2								
148	103110101	1	1	1	1	4	1	2								
149	331000004	1	1	1	2	4	1	2								
150	331010004	1	1	1	2	4	1	2								
151	220310001	2	1	1	2	3	0	2								
152	220410001	2	1	1	2	3	0	2								
153	220510001	2	1	1	2	3	0	2								
154	220410001	2	1	1	2	3	0	2								
155	220510001	2	1	1	2	3	0	2								
156	220610001	2	1	1	2	3	0	2								
157	220710001	2	1	1	2	3	0	2								
158	220810001	2	1	1	2	3	0	2								
159	331000001	2	1	1	2	3	0	2								
160	331000002	2	1	1	2	3	0	2								
161	331010001	2	1	1	2	3	0	2								
162	331010002	2	1	1	2	3	0	2								
163	331020001	2	1	1	2	3	0	2								
164	331020002	2	1	1	2	3	0	2								
165	331030001	2	1	1	2	3	0	2								
166	331030002	2	1	1	2	3	0	2								
167	331040001	2	1	1	2	3	0	2								
168	331040002	2	1	1	2	3	0	2								
169	100110101	2	1	1	1	3	0	2								
170	100110201	2	1	1	1	3	0	2								
171	100110301	2	1	1	1	3	0	2								
172	101110101	2	1	1	1	3	0	2								
173	101110201	2	1	1	1	3	0	2								
174	101110301	2	1	1	1	3	0	2								
175	102110101	2	1	1	1	3	0	2								
176	102110201	2	1	1	1	3	0	2								
177	102110301	2	1	1	1	4	1	2								
178	103110101	2	1	1	1	4	1	2								
179	331000004	2	1	1	2	4	1	2								
180	331010004	2	1	1	2	4	1	2								
181	220310001	1	1	1	2	3	0	3								
182	220410001	1	1	1	2	3	0	3								
183	220510001	1	1	1	2	3	0	3								
184	220410001	1	1	1	2	3	0	3								
185	220510001	1	1	1	2	3	0	3								
186	220610001	1	1	1	2	3	0	3								
187	220710001	1	1	1	2	3	0	3								
188	220810001	1	1	1	2	3	0	3								
189	331000001	1	1	1	2	3	0	3								
190	331000002	1	1	1	2	3	0	3								
191	331010001	1	1	1	2	3	0	3								
192	331010002	1	1	1	2	3	0	3								
193	331020001	1	1	1	2	3	0	3								
194	331020002	1	1	1	2	3	0	3								
195	331030001	1	1	1	2	3	0	3								
196	331030002	1	1	1	2	3	0	3								
197	331040001	1	1	1	2	3	0	3								
198	331040002	1	1	1	2	3	0	3								
199	100110101	1	1	1	1	3	0	3								
200	100110201	1	1	1	1	3	0	3								
201	100110301	1	1	1	1	3	0	3								
202	101110101	1	1	1	1	3	0	3								
203	101110201	1	1	1	1	3	0	3								
204	101110301	1	1	1	1	3	0	3								
205	102110101	1	1	1	1	3	0	3								
206	102110201	1	1	1	1	3	0	3								
207	102110301	1	1	1	1	4	1	3								
208	103110101	1	1	1	1	4	1	3								
209	331000004	1	1	1	2	4	1	3								
210	331010004	1	1	1	2	4	1	3								
211	220310001	2	1	1	2	3	0	3								
212	220410001	2	1	1	2	3	0	3								
213	220510001	2	1	1	2	3	0	3								
214	220410001	2	1	1	2	3	0	3								
215	220510001	2	1	1	2	3	0	3								
216	220610001	2	1	1	2	3	0	3								
217	220710001	2	1	1	2	3	0	3								
218	220810001	2	1	1	2	3	0	3								
219	331000001	2	1	1	2	3	0	3								
220	331000002	2	1	1	2	3	0	3								
221	331010001	2	1	1	2	3	0	3								
222	331010002	2	1	1	2	3	0	3								
223	331020001	2	1	1	2	3	0	3								
224	331020002	2	1	1	2	3	0	3								
225	331030001	2	1	1	2	3	0	3								
226	331030002	2	1	1	2	3	0	3								
227	331040001	2	1	1	2	3	0	3								
228	331040002	2	1	1	2	3	0	3								
229	100110101	2	1	1	1	3	0	3								
230	100110201	2	1	1	1	3	0	3								
231	100110301	2	1	1	1	3	0	3								
232	101110101	2	1	1	1	3	0	3								
233	101110201	2	1	1	1	3	0	3								
234	101110301	2	1	1	1	3	0	3								
235	102110101	2	1	1	1	3	0	3								
236	102110201	2	1	1	1	3	0	3								
237	102110301	2	1	1	1	4	1	3								
238	103110101	2	1	1	1	4	1	3								
239	331000004	2	1	1	2	4	1	3								
240	331010004	2	1	1	2	4	1	3								
241	220310001	1	1	1	2	4	0	4								
242	220410001	1	1	1	2	4	0	4								
243	220510001	1	1	1	2	4	0	4								
244	220410001	1	1	1	2	4	0	4								
245	220510001	1	1	1	2	4	0	4								
246	220610001	1	1	1	2	4	0	4								
247	220710001	1	1	1	2	4	0	4								
248	220810001	1	1	1	2	4	0	4								
249	331000001	1	1	1	2	4	0	4								
250	331000002	1	1	1	2	4	0	4								
251	331010001	1	1	1	2	4	0	4								
252	331010002	1	1	1	2	4	0	4								
253	331020001	1	1	1	2	4	0	4								
254	331020002	1	1	1	2	4	0	4								
255	331030001	1	1	1	2	4	0	4								
256	331030002	1	1	1	2	4	0	4								
257	331040001	1	1	1	2	4	0	4								
258	331040002	1	1	1	2	4	0	4								
259	100110101	1	1	1	1	4	0	4								
260	100110201	1	1	1	1	4	0	4								
261	100110301	1	1	1	1	4	0	4								
262	101110101	1	1	1	1	4	0	4								
263	101110201	1	1	1	1	4	0	4								
264	101110301	1	1	1	1	4	0	4								
265	102110101	1	1	1	1	4	0	4								
266	102110201	1	1	1	1	4	0	4								
267	102110301	1	1	1	1	5	1	4								
268	103110101	1	1	1	1	5	1	4								
269	331000004	1	1	1	2	5	1	4								
270	331010004	1	1	1	2	5	1	4								
271	220310001	2	1	1	2	4	0	4								
272	220410001	2	1	1	2	4	0	4								
273	220510001	2	1	1	2	4	0	4								
274	220410001	2	1	1	2	4	0	4								
275	220510001	2	1	1	2	4	0	4								
276	220610001	2	1	1	2	4	0	4								
277	220710001	2	1	1	2	4	0	4								
278	220810001	2	1	1	2	4	0	4								
279	331000001	2	1	1	2	4	0	4								
280	331000002	2	1	1	2	4	0	4								
281	331010001	2	1	1	2	4	0	4								
282	331010002	2	1	1	2	4	0	4								
283	331020001	2	1	1	2	4	0	4								
284	331020002	2	1	1	2	4	0	4								
285	331030001	2	1	1	2	4	0	4								
286	331030002	2	1	1	2	4	0	4								
287	331040001	2	1	1	2	4	0	4								
288	331040002	2	1	1	2	4	0	4								
289	100110101	2	1	1	1	4	0	4								
290	100110201	2	1	1	1	4	0	4								
291	100110301	2	1	1	1	4	0	4								
292	101110101	2	1	1	1	4	0	4								
293	101110201	2	1	1	1	4	0	4								
294	101110301	2	1	1	1	4	0	4								
295	102110101	2	1	1	1	4	0	4								
296	102110201	2	1	1	1	4	0	4								
297	102110301	2	1	1	1	5	1	4								
298	103110101	2	1	1	1	5	1	4								
299	331000004	2	1	1	2	5	1	4								
300	331010004	2	1	1	2	5	1	4								
