服务器输出文件名	config_skill_level.xml	根名称	ability															
客户端输出文件名	config_skill_level.xml	项名称	skill_level															
uint16序列ID	uint8技能ID	uint8技能等级	uint16升级所需要角色等级	uint32升级所需金币	uint16升级所需技能点	uint32触发所需要的怒气	技能触发概率	效果0加成	持续时间	技能触发概率	效果1加成（千分之几）	持续时间	技能触发概率	效果2加成（千分之几）	持续时间	技能触发概率	效果3加成（千分之几）	持续时间
118	1	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
119	1	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
120	1	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
201	2	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
202	2	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
203	2	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
204	2	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
205	2	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
206	2	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
207	2	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
208	2	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
209	2	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
210	2	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
211	2	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
212	2	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
213	2	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
214	2	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
215	2	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
216	2	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
217	2	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
218	2	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
219	2	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
220	2	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
301	3	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
302	3	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
303	3	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
304	3	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
305	3	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
306	3	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
307	3	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
308	3	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
309	3	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
310	3	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
311	3	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
312	3	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
313	3	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
314	3	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
315	3	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
316	3	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
317	3	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
318	3	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
319	3	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
320	3	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
401	4	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
402	4	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
403	4	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
404	4	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
405	4	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
406	4	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
407	4	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
408	4	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
409	4	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
410	4	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
411	4	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
412	4	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
413	4	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
414	4	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
415	4	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
416	4	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
417	4	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
418	4	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
419	4	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
420	4	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
501	5	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
502	5	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
503	5	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
504	5	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
505	5	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
506	5	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
507	5	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
508	5	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
509	5	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
510	5	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
511	5	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
512	5	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
513	5	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
514	5	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
515	5	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
516	5	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
517	5	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
518	5	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
519	5	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
520	5	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
601	6	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
602	6	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
603	6	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
604	6	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
605	6	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
606	6	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
607	6	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
608	6	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
609	6	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
610	6	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
611	6	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
612	6	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
613	6	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
614	6	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
615	6	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
616	6	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
617	6	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
618	6	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
619	6	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
620	6	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
701	7	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
702	7	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
703	7	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
704	7	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
705	7	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
706	7	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
707	7	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
708	7	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
709	7	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
710	7	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
711	7	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
712	7	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
713	7	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
714	7	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
715	7	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
716	7	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
717	7	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
718	7	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
719	7	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
720	7	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
801	8	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
802	8	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
803	8	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
804	8	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
805	8	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
806	8	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
807	8	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
808	8	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
809	8	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
810	8	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
811	8	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
812	8	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
813	8	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
814	8	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
815	8	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
816	8	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
817	8	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
818	8	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
819	8	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
820	8	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
901	9	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
902	9	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
903	9	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
904	9	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
905	9	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
906	9	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
907	9	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
908	9	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
909	9	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
910	9	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
911	9	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
912	9	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
913	9	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
914	9	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
915	9	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
916	9	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
917	9	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
918	9	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
919	9	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
920	9	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1001	10	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1002	10	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1003	10	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1004	10	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1005	10	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1006	10	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1007	10	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1008	10	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1009	10	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1010	10	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1011	10	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1012	10	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1013	10	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1014	10	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1015	10	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1016	10	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1017	10	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1018	10	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1019	10	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1020	10	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1101	11	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1102	11	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1103	11	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1104	11	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1105	11	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1106	11	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1107	11	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1108	11	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1109	11	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1110	11	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1111	11	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1112	11	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1113	11	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1114	11	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1115	11	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1116	11	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1117	11	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1118	11	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1119	11	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1120	11	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1201	12	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1202	12	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1203	12	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1204	12	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1205	12	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1206	12	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1207	12	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1208	12	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1209	12	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1210	12	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1211	12	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1212	12	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1213	12	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1214	12	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1215	12	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1216	12	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1217	12	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1218	12	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1219	12	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1220	12	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1301	13	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1302	13	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1303	13	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1304	13	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1305	13	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1306	13	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1307	13	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1308	13	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1309	13	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1310	13	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1311	13	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1312	13	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1313	13	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1314	13	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1315	13	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1316	13	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1317	13	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1318	13	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1319	13	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1320	13	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1401	14	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1402	14	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1403	14	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1404	14	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1405	14	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1406	14	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1407	14	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1408	14	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1409	14	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1410	14	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1411	14	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1412	14	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1413	14	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1414	14	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1415	14	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1416	14	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1417	14	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1418	14	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1419	14	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1420	14	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1501	15	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1502	15	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1503	15	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1504	15	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1505	15	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1506	15	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1507	15	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1508	15	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1509	15	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1510	15	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1511	15	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1512	15	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1513	15	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1514	15	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1515	15	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1516	15	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1517	15	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1518	15	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1519	15	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1520	15	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1601	16	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1602	16	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1603	16	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1604	16	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1605	16	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1606	16	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1607	16	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1608	16	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1609	16	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1610	16	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1611	16	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1612	16	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1613	16	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1614	16	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1615	16	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1616	16	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1617	16	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1618	16	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1619	16	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1620	16	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1701	17	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1702	17	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
1703	17	3	10	300	150	10	100	120	0	0	0	0	0	0	0	0	0	0
1704	17	4	15	400	200	10	100	130	0	0	0	0	0	0	0	0	0	0
1705	17	5	20	500	250	10	100	140	0	0	0	0	0	0	0	0	0	0
1706	17	6	25	600	300	10	100	150	0	0	0	0	0	0	0	0	0	0
1707	17	7	30	700	350	10	100	160	0	0	0	0	0	0	0	0	0	0
1708	17	8	35	800	400	10	100	170	0	0	0	0	0	0	0	0	0	0
1709	17	9	40	900	450	10	100	180	0	0	0	0	0	0	0	0	0	0
1710	17	10	45	1000	500	10	100	190	0	0	0	0	0	0	0	0	0	0
1711	17	11	50	1100	550	10	100	200	0	0	0	0	0	0	0	0	0	0
1712	17	12	55	1200	600	10	100	210	0	0	0	0	0	0	0	0	0	0
1713	17	13	60	1300	650	10	100	220	0	0	0	0	0	0	0	0	0	0
1714	17	14	65	1400	700	10	100	230	0	0	0	0	0	0	0	0	0	0
1715	17	15	70	1500	750	10	100	240	0	0	0	0	0	0	0	0	0	0
1716	17	16	75	1600	800	10	100	250	0	0	0	0	0	0	0	0	0	0
1717	17	17	80	1700	850	10	100	260	0	0	0	0	0	0	0	0	0	0
1718	17	18	85	1800	900	10	100	270	0	0	0	0	0	0	0	0	0	0
1719	17	19	90	1900	950	10	100	280	0	0	0	0	0	0	0	0	0	0
1720	17	20	95	2000	1000	10	100	290	0	0	0	0	0	0	0	0	0	0
1801	18	1	1	100	50	10	100	100	0	0	0	0	0	0	0	0	0	0
1802	18	2	5	200	100	10	100	110	0	0	0	0	0	0	0	0	0	0
