服务器输出文件名	config_shop_item.xml	根名称	ability											
3002	4	2	101110201	1	11	100	4294967295	255	0	[41de5b]连云衣	[f4e4c6][f0b427]20[-]元宝	金边女衣，非常美丽漂亮		
3002	5	2	101110301	1	11	100	4294967295	255	0	[41de5b]红尘衣	[f4e4c6][f0b427]40[-]元宝	此等华丽的衣物，人间罕见		
3002	6	2	102110101	1	11	100	4294967295	255	0	[41de5b]素女帽	[f4e4c6][f0b427]10[-]元宝	小女孩爱带的帽子，很清新自然		
3002	7	2	102110201	1	11	100	4294967295	255	0	[41de5b]散花帽	[f4e4c6][f0b427]20[-]元宝	据说天女散落的一片花瓣化成		
3002	8	2	102110301	1	11	100	4294967295	255	0	[41de5b]沐林帽	[f4e4c6][f0b427]40[-]元宝	原始森林中衍生出来		
3002	9	2	103110101	1	11	100	4294967295	255	0	[41de5b]柳燕披肩	[f4e4c6][f0b427]10[-]元宝	良家妇女亲手所绣，古朴大方		
3002	10	2	103110201	1	11	100	4294967295	255	0	[41de5b]星宿披肩	[f4e4c6][f0b427]20[-]元宝	虽然是件披肩，但是看着更像一张星宿图		
3002	11	2	103110301	1	11	100	4294967295	255	0	[41de5b]南海披肩	[f4e4c6][f0b427]40[-]元宝	从南海漂流而来，不知其来历		
3002	12	2	104110101	1	11	100	4294967295	255	0	[41de5b]绿叶腰带	[f4e4c6][f0b427]10[-]元宝	某女子野外随手编制的腰带		
3002	13	2	104110201	1	11	100	4294967295	255	0	[41de5b]野草腰带	[f4e4c6][f0b427]20[-]元宝	坚忍不拔，顽强的野草编制而成，很结实		
3002	14	2	104110301	1	11	100	4294967295	255	0	[41de5b]愁思腰带	[f4e4c6][f0b427]40[-]元宝	腰带代表着女子的哀愁与思念		
3002	15	2	105110101	1	11	100	4294967295	255	0	[41de5b]素云裤	[f4e4c6][f0b427]10[-]元宝	简单大方，穿起来很舒服		
3002	16	2	105110201	1	11	100	4294967295	255	0	[41de5b]燕柳裤	[f4e4c6][f0b427]20[-]元宝	随风飘扬的摆动，自由自在		
3002	17	2	105110301	1	11	100	4294967295	255	0	[41de5b]落叶裤	[f4e4c6][f0b427]40[-]元宝	倘得涛平波静日，与君同上集贤台		
3002	18	2	106110101	1	11	100	4294967295	255	0	[41de5b]网布鞋	[f4e4c6][f0b427]10[-]元宝	很轻巧很舒适的鞋子		
3002	19	2	106110201	1	11	100	4294967295	255	0	[41de5b]皮革鞋	[f4e4c6][f0b427]20[-]元宝	皮革鞋很耐磨，很有档次		
3002	20	2	106110301	1	11	100	4294967295	255	0	[41de5b]聪兆鞋	[f4e4c6][f0b427]40[-]元宝	有很强的爆发力		
3002	21	2	107110101	1	11	100	4294967295	255	0	[41de5b]花絮玉佩	[f4e4c6][f0b427]10[-]元宝	普通的镶花玉佩		
3002	22	2	107110201	1	11	100	4294967295	255	0	[41de5b]彩蝶玉佩	[f4e4c6][f0b427]20[-]元宝	内部镶有蝴蝶标本的玉佩		
3002	23	2	107110301	1	11	100	4294967295	255	0	[41de5b]灵猫玉佩	[f4e4c6][f0b427]40[-]元宝	猫眼制作而成，具有一定的灵性		
3002	24	2	108110101	1	11	100	4294967295	255	0	[41de5b]轻宇护腕	[f4e4c6][f0b427]10[-]元宝	普通少女佩戴护腕，清秀简单		
3002	25	2	108110201	1	11	100	4294967295	255	0	[41de5b]荣之护腕	[f4e4c6][f0b427]20[-]元宝	普通钢制，非常受女孩的喜爱		
3002	26	2	108110301	1	11	100	4294967295	255	0	[41de5b]绿丝护腕	[f4e4c6][f0b427]40[-]元宝	钢制护腕，非常结实，并且注有绿叶精华		
3002	27	2	109110101	1	11	100	4294967295	255	0	[41de5b]丝网护胸	[f4e4c6][f0b427]10[-]元宝	普通丝网护胸，穿起来很凉爽		
3002	28	2	109110201	1	11	100	4294967295	255	0	[41de5b]丝绸护胸	[f4e4c6][f0b427]20[-]元宝	上等丝绸制作，穿起来很舒服		
3002	29	2	109110301	1	11	100	4294967295	255	0	[41de5b]嘉文护胸	[f4e4c6][f0b427]40[-]元宝	故人把酒杯未休，乡书遥寄离人愁		
3002	30	2	100110102	1	11	100	4294967295	255	0	[41de5b]清风琴	[f4e4c6][f0b427]10[-]元宝	微风中弹唱，清爽之极		
3002	31	2	100110202	1	11	100	4294967295	255	0	[41de5b]悲喜琴	[f4e4c6][f0b427]20[-]元宝	操纵人的情操，可善可恶		
3002	32	2	100110302	1	11	100	4294967295	255	0	[41de5b]八卦琴	[f4e4c6][f0b427]40[-]元宝	阵法中核心的古琴，配合起来威力无比		
3002	33	2	101110102	1	11	100	4294967295	255	0	[41de5b]轻丝衣	[f4e4c6][f0b427]10[-]元宝	轻丝所制，非常轻快		
3002	34	2	101110202	1	11	100	4294967295	255	0	[41de5b]晨露服	[f4e4c6][f0b427]20[-]元宝	清晨练武非常灵活		
3002	35	2	101110302	1	11	100	4294967295	255	0	[41de5b]驻灵衣	[f4e4c6][f0b427]40[-]元宝	带有一些灵性的服饰		
3002	36	2	102110102	1	11	100	4294967295	255	0	[41de5b]发带	[f4e4c6][f0b427]10[-]元宝	一条普通少女的发带		
3002	37	2	102110202	1	11	100	4294967295	255	0	[41de5b]发夹	[f4e4c6][f0b427]20[-]元宝	带有银边的发夹，小资才能带哦		
3002	38	2	102110302	1	11	100	4294967295	255	0	[41de5b]流云巾	[f4e4c6][f0b427]40[-]元宝	雁归又一年，策马逆风，泪洒天边		
3002	39	2	103110102	1	11	100	4294967295	255	0	[41de5b]白银披肩	[f4e4c6][f0b427]10[-]元宝	颜色很受女孩子欢迎		
3002	40	2	103110202	1	11	100	4294967295	255	0	[41de5b]青丘披肩	[f4e4c6][f0b427]20[-]元宝	毛绒绒的，看似很高档		
3002	41	2	103110302	1	11	100	4294967295	255	0	[41de5b]蝉翼披肩	[f4e4c6][f0b427]40[-]元宝	虽然很透明，缺能抵抗不少火力		
3002	42	2	104110102	1	11	100	4294967295	255	0	[41de5b]绣茵凤带	[f4e4c6][f0b427]10[-]元宝	普通的腰带，绣有一些绿纹		
3002	43	2	104110202	1	11	100	4294967295	255	0	[41de5b]听香束腰	[f4e4c6][f0b427]20[-]元宝	芬香扑鼻，为女子最爱		
3002	44	2	104110302	1	11	100	4294967295	255	0	[41de5b]凝玉束腰	[f4e4c6][f0b427]40[-]元宝	凝玉之中蕴含着神奇的力量，佩戴者可以感受到阵阵凉意		
3002	45	2	105110102	1	11	100	4294967295	255	0	[41de5b]扶风裤	[f4e4c6][f0b427]10[-]元宝	简朴而实用的裤子		
3002	46	2	105110202	1	11	100	4294967295	255	0	[41de5b]狐裘裤	[f4e4c6][f0b427]20[-]元宝	落单的狐狸制作而成		
3002	47	2	105110302	1	11	100	4294967295	255	0	[41de5b]清涟裤	[f4e4c6][f0b427]40[-]元宝	云影遥临盖，花气近熏衣		
3002	48	2	106110102	1	11	100	4294967295	255	0	[41de5b]雀纹履	[f4e4c6][f0b427]10[-]元宝	民间女子喜好之品		
3002	49	2	106110202	1	11	100	4294967295	255	0	[41de5b]凤毛履	[f4e4c6][f0b427]20[-]元宝	凤凰掉落的羽毛所制		
3002	50	2	106110302	1	11	100	4294967295	255	0	[41de5b]凌波屐	[f4e4c6][f0b427]40[-]元宝	穿上后，凌空走路，无所不能		
3002	51	2	107110102	1	11	100	4294967295	255	0	[41de5b]琥珀玉佩	[f4e4c6][f0b427]10[-]元宝	很普通的琥珀		
3002	52	2	107110202	1	11	100	4294967295	255	0	[41de5b]仙亭玉佩	[f4e4c6][f0b427]20[-]元宝	看似好像有什么象征意义		
3002	53	2	107110302	1	11	100	4294967295	255	0	[41de5b]秋草玉佩	[f4e4c6][f0b427]40[-]元宝	有着顽强的生命力		
3002	54	2	108110102	1	11	100	4294967295	255	0	[41de5b]素手护腕	[f4e4c6][f0b427]10[-]元宝	青青绿草，带起来很漂亮		
3002	55	2	108110202	1	11	100	4294967295	255	0	[41de5b]白玉护腕	[f4e4c6][f0b427]20[-]元宝	某家女子的定情信物		
3002	56	2	108110302	1	11	100	4294967295	255	0	[41de5b]玉指护腕	[f4e4c6][f0b427]40[-]元宝	细心打造，在江湖属于上品		
3002	57	2	109110102	1	11	100	4294967295	255	0	[41de5b]蚕丝护胸	[f4e4c6][f0b427]10[-]元宝	非常柔软舒服的蚕丝护胸		
3002	58	2	109110202	1	11	100	4294967295	255	0	[41de5b]白银护胸	[f4e4c6][f0b427]20[-]元宝	比较薄弱，但是闪闪很漂亮		
3002	59	2	109110302	1	11	100	4294967295	255	0	[41de5b]连环护胸	[f4e4c6][f0b427]40[-]元宝	相对很轻巧，却能抵挡不少攻击		
3002	60	2	100110103	1	11	100	4294967295	255	0	[41de5b]铁拳套	[f4e4c6][f0b427]10[-]元宝	生锈的铁拳套		
3002	61	2	100110203	1	11	100	4294967295	255	0	[41de5b]精钢拳套	[f4e4c6][f0b427]20[-]元宝	精钢拳套，好像有点重		
3002	62	2	100110303	1	11	100	4294967295	255	0	[41de5b]纯银拳套	[f4e4c6][f0b427]40[-]元宝	很精致的银拳套		
3002	63	2	101110103	1	11	100	4294967295	255	0	[41de5b]夜行衣	[f4e4c6][f0b427]10[-]元宝	魔教小鬼夜行服饰		
3002	64	2	101110203	1	11	100	4294967295	255	0	[41de5b]护心甲	[f4e4c6][f0b427]20[-]元宝	较为结实，能抵挡很多火力		
3002	65	2	101110303	1	11	100	4294967295	255	0	[41de5b]凝血衣	[f4e4c6][f0b427]40[-]元宝	鲜血炼化而成，有着邪恶的力量		
3002	66	2	102110103	1	11	100	4294967295	255	0	[41de5b]清秋冠	[f4e4c6][f0b427]10[-]元宝	铜质头冠，比较厚重		
3002	67	2	102110203	1	11	100	4294967295	255	0	[41de5b]虎皮帽	[f4e4c6][f0b427]20[-]元宝	虎皮帽子，看似很威猛		
3002	68	2	102110303	1	11	100	4294967295	255	0	[41de5b]龙神盔	[f4e4c6][f0b427]40[-]元宝	坚实实用，看起来威风凛凛		
3002	69	2	103110103	1	11	100	4294967295	255	0	[41de5b]小魔披肩	[f4e4c6][f0b427]10[-]元宝	魔教小鬼专属披肩		
3002	70	2	103110203	1	11	100	4294967295	255	0	[41de5b]阴火披肩	[f4e4c6][f0b427]20[-]元宝	鬼火化身，很阴森的感觉		
3002	71	2	103110303	1	11	100	4294967295	255	0	[41de5b]毒魔披肩	[f4e4c6][f0b427]40[-]元宝	披肩有毒，要好好的利用		
3002	72	2	104110103	1	11	100	4294967295	255	0	[41de5b]门童腰带	[f4e4c6][f0b427]10[-]元宝	魔教门童专属腰带		
3002	73	2	104110203	1	11	100	4294967295	255	0	[41de5b]莫汗腰带	[f4e4c6][f0b427]20[-]元宝	比较结实的腰带		
3002	74	2	104110303	1	11	100	4294967295	255	0	[41de5b]阳手腰带	[f4e4c6][f0b427]40[-]元宝	魔教对于火焰、太阳的尊奉		
3002	75	2	105110103	1	11	100	4294967295	255	0	[41de5b]强成裤	[f4e4c6][f0b427]10[-]元宝	魔教小鬼夜间最爱的夜行裤		
3002	76	2	105110203	1	11	100	4294967295	255	0	[41de5b]兵阮裤	[f4e4c6][f0b427]20[-]元宝	上好的布料，质量很好的		
3002	77	2	105110303	1	11	100	4294967295	255	0	[41de5b]魔魂裤	[f4e4c6][f0b427]40[-]元宝	附有一些魔性，比较凶险		
3002	78	2	106110103	1	11	100	4294967295	255	0	[41de5b]永林鞋	[f4e4c6][f0b427]10[-]元宝	农夫永林干活所穿布鞋		
3002	79	2	106110203	1	11	100	4294967295	255	0	[41de5b]导魔鞋	[f4e4c6][f0b427]20[-]元宝	附有一些魔性的鞋子		
3002	80	2	106110303	1	11	100	4294967295	255	0	[41de5b]暗血鞋	[f4e4c6][f0b427]40[-]元宝	汇集诸多血液的魔鞋		
3002	81	2	107110103	1	11	100	4294967295	255	0	[41de5b]水石玉佩	[f4e4c6][f0b427]10[-]元宝	很光滑的石头所打造而成		
3002	82	2	107110203	1	11	100	4294967295	255	0	[41de5b]古木玉佩	[f4e4c6][f0b427]20[-]元宝	千年古木精华提取而成		
3002	83	2	107110303	1	11	100	4294967295	255	0	[41de5b]古金玉佩	[f4e4c6][f0b427]40[-]元宝	很久没有清理过的黄金玉佩，很有些年代了		
3002	84	2	108110103	1	11	100	4294967295	255	0	[41de5b]次铜护腕	[f4e4c6][f0b427]10[-]元宝	普通铜质的护腕		
3002	85	2	108110203	1	11	100	4294967295	255	0	[41de5b]银钱护腕	[f4e4c6][f0b427]20[-]元宝	全用银币炼化而成的护腕		
3002	86	2	108110303	1	11	100	4294967295	255	0	[41de5b]独角护腕	[f4e4c6][f0b427]40[-]元宝	独角魔兽最尖锐的角所制		
3002	87	2	109110103	1	11	100	4294967295	255	0	[41de5b]伯力护胸	[f4e4c6][f0b427]10[-]元宝	非常保暖，还能抵消不少伤害		
3002	88	2	109110203	1	11	100	4294967295	255	0	[41de5b]雪落护胸	[f4e4c6][f0b427]20[-]元宝	雪花飘落之时所制作而成		
3002	89	2	109110303	1	11	100	4294967295	255	0	[41de5b]虚空护胸	[f4e4c6][f0b427]40[-]元宝	虚幻缥缈，仿佛不是这个世间的产物		
3002	90	2	100110104	1	11	100	4294967295	255	0	[41de5b]木棍	[f4e4c6][f0b427]10[-]元宝	结实的木棍		
3002	91	2	100110204	1	11	100	4294967295	255	0	[41de5b]精钢棍	[f4e4c6][f0b427]20[-]元宝	精钢打磨的上好棍子		
3002	92	2	100110304	1	11	100	4294967295	255	0	[41de5b]伏魔杖	[f4e4c6][f0b427]30[-]元宝	一棍驱除一切魔徒		
3002	93	2	100110404	1	11	100	4294967295	255	0	[41de5b]金刚杖	[f4e4c6][f0b427]40[-]元宝	少林长老特质法杖		
3002	94	2	100110504	1	11	100	4294967295	255	0	[41de5b]伏虎杖	[f4e4c6][f0b427]50[-]元宝	打死过上千老虎的铁棍		
3002	95	2	101110104	1	11	100	4294967295	255	0	[41de5b]僧衣	[f4e4c6][f0b427]10[-]元宝	少林弟子的衣物		
3002	96	2	101110204	1	11	100	4294967295	255	0	[41de5b]宝象服	[f4e4c6][f0b427]20[-]元宝	远方送得的袈裟，高僧可穿		
3002	97	2	101110304	1	11	100	4294967295	255	0	[41de5b]三宝服	[f4e4c6][f0b427]30[-]元宝	全是上好丝绸所制，价格不凡		
3002	98	2	101110404	1	11	100	4294967295	255	0	[41de5b]业障服	[f4e4c6][f0b427]40[-]元宝	附有魔性的战袍，蕴涵了不知多少能量		
3002	99	2	101110504	1	11	100	4294967295	255	0	[41de5b]轮回袍	[f4e4c6][f0b427]50[-]元宝	六道轮回无有止息，不求解脱		
3002	100	2	101110604	1	11	100	4294967295	255	0	[41de5b]无相袈裟	[f4e4c6][f0b427]60[-]元宝	无相国所赠战斗袈裟，能抵挡万千火力		
3002	101	2	102110104	1	11	100	4294967295	255	0	[41de5b]方巾	[f4e4c6][f0b427]10[-]元宝	简单实用还不贵		
3002	102	2	102110204	1	11	100	4294967295	255	0	[41de5b]铜盔	[f4e4c6][f0b427]20[-]元宝	能够防护一点伤害		
3002	103	2	102110304	1	11	100	4294967295	255	0	[41de5b]火云盔	[f4e4c6][f0b427]40[-]元宝	带有火焰图腾，象征着燃烧		
3002	104	2	103110104	1	11	100	4294967295	255	0	[41de5b]杀手披肩	[f4e4c6][f0b427]10[-]元宝	看似很酷的披肩		
3002	105	2	103110204	1	11	100	4294967295	255	0	[41de5b]疯魔披肩	[f4e4c6][f0b427]20[-]元宝	一件很疯狂的披肩		
3002	106	2	103110304	1	11	100	4294967295	255	0	[41de5b]赤炎披肩	[f4e4c6][f0b427]40[-]元宝	带有一些燃烧的力量，异常火爆		
3002	107	2	104110104	1	11	100	4294967295	255	0	[41de5b]元宗缠腰	[f4e4c6][f0b427]10[-]元宝	普通皮质腰带		
3002	108	2	104110204	1	11	100	4294967295	255	0	[41de5b]鹿皮腰带	[f4e4c6][f0b427]20[-]元宝	倒霉的小鹿死后制成的腰带		
3002	109	2	104110304	1	11	100	4294967295	255	0	[41de5b]帛锦束腰	[f4e4c6][f0b427]40[-]元宝	虽然很柔软，但是不是很耐揍		
3002	110	2	105110104	1	11	100	4294967295	255	0	[41de5b]青云裤	[f4e4c6][f0b427]10[-]元宝	看似很酷的一条裤子		
3002	111	2	105110204	1	11	100	4294967295	255	0	[41de5b]天罡裤	[f4e4c6][f0b427]20[-]元宝	有着某些种族的图腾，有自己的信仰		
3002	112	2	105110304	1	11	100	4294967295	255	0	[41de5b]归元裤	[f4e4c6][f0b427]40[-]元宝	寸心言不尽，前路日将斜		
3002	113	2	107110104	1	11	100	4294967295	255	0	[41de5b]白虎玉佩	[f4e4c6][f0b427]10[-]元宝	人间信崇神兽白虎所制		
3002	114	2	107110204	1	11	100	4294967295	255	0	[41de5b]青龙玉佩	[f4e4c6][f0b427]20[-]元宝	人间信崇神兽青龙所制		
3002	115	2	107110304	1	11	100	4294967295	255	0	[41de5b]魅啸玉佩	[f4e4c6][f0b427]40[-]元宝	注入少许魔力，有势待发		
3002	116	2	108110104	1	11	100	4294967295	255	0	[41de5b]青铜护腕	[f4e4c6][f0b427]10[-]元宝	看似很古老，没有很用心打磨		
3002	117	2	108110204	1	11	100	4294967295	255	0	[41de5b]刺风护腕	[f4e4c6][f0b427]20[-]元宝	使用不好，小心伤人伤己		
3002	118	2	108110304	1	11	100	4294967295	255	0	[41de5b]奇袭护腕	[f4e4c6][f0b427]40[-]元宝	轻巧灵活，但是杀伤力好像不太强		
3002	119	2	109110104	1	11	100	4294967295	255	0	[41de5b]猪皮护胸	[f4e4c6][f0b427]10[-]元宝	野猪皮所织，比较耐抗		
3002	120	2	109110204	1	11	100	4294967295	255	0	[41de5b]铁板护胸	[f4e4c6][f0b427]20[-]元宝	士兵所用，比较笨重		
3002	121	2	109110304	1	11	100	4294967295	255	0	[41de5b]锁子护胸	[f4e4c6][f0b427]40[-]元宝	连环锁甲，能抵挡不少力量		
3002	122	2	100250201	1	11	100	4294967295	255	0	[ba00ff][ba00ff]装备礼包[-]	[f4e4c6][f0b427]20[-]元宝	装备礼包		
3002	123	2	100250301	1	11	100	4294967295	255	0	[ba00ff][ba00ff]装备礼包[-]	[f4e4c6][f0b427]20[-]元宝	装备礼包		
3002	124	2	220010001	1	11	1	4294967295	255	0	[ba00ff][ba00ff]普通的升级石[-]	[f4e4c6][f0b427]1[-]元宝	可把25级以下的装备提升到下一佩戴等级		
3002	125	2	220010002	1	11	1	4294967295	255	0	[ba00ff][ba00ff]精良的升级石[-]	[f4e4c6][f0b427]1[-]元宝	可把45级以下的装备提升到下一佩戴等级		
3002	126	2	220010003	1	11	1	4294967295	255	0	[ba00ff][ba00ff]优秀的升级石[-]	[f4e4c6][f0b427]1[-]元宝	可把65级以下的装备提升到下一佩戴等级		
3002	127	2	220010004	1	11	1	4294967295	255	0	[ba00ff][ba00ff]完美的升级石[-]	[f4e4c6][f0b427]1[-]元宝	可把85级以下的装备提升到下一佩戴等级		
3002	128	2	220020001	1	11	1	4294967295	255	0	[ba00ff][ba00ff]普通的升星石[-]	[f4e4c6][f0b427]1[-]元宝	有机率把1-3星装备，提高1星		
3002	129	2	220020002	1	11	1	4294967295	255	0	[ba00ff][ba00ff]精良的升星石[-]	[f4e4c6][f0b427]1[-]元宝	有机率把4-6星装备，提高1星		
3002	130	2	220020003	1	11	1	4294967295	255	0	[ba00ff][ba00ff]优秀的升星石[-]	[f4e4c6][f0b427]1[-]元宝	有机率把7-9星装备，提高1星		
3002	131	2	220020004	1	11	1	4294967295	255	0	[ba00ff][ba00ff]完美的升星石[-]	[f4e4c6][f0b427]1[-]元宝	有机率把10-12星装备，提高1星		
3002	132	2	220030001	1	11	1	4294967295	255	0	[ba00ff][ba00ff]普通的升品石[-]	[f4e4c6][f0b427]1[-]元宝	可把普通品质的装备提升一个精良		
3002	133	2	220030002	1	11	1	4294967295	255	0	[ba00ff][ba00ff]精良的升品石[-]	[f4e4c6][f0b427]1[-]元宝	可把精良品质的装备提升一个优秀		
3002	134	2	220030003	1	11	1	4294967295	255	0	[ba00ff][ba00ff]优秀的升品石[-]	[f4e4c6][f0b427]1[-]元宝	可把优秀品质的装备提升一个完美		
3002	135	2	220030004	1	11	1	4294967295	255	0	[ba00ff][ba00ff]完美的升品石[-]	[f4e4c6][f0b427]1[-]元宝	可把优秀品质的装备提升一个无暇		
3004	0	2	100240101	3	11	1700	4294967295	255	0	[00a2ff][00a2ff]高级升级石[-]	[f4e4c6][f0b427]36[-]元宝	购买后，可获得相应金币数量		
3004	1	2	100240201	3	11	1800	4294967295	255	0	[00a2ff][00a2ff]高级升星石[-]	[f4e4c6][f0b427]36[-]元宝	购买后，可获得相应金币数量		
3004	2	2	100240301	3	11	1900	4294967295	255	0	[00a2ff][00a2ff]高级品质石[-]	[f4e4c6][f0b427]36[-]元宝	购买后，可获得相应金币数量		
3004	3	2	100340101	3	11	2000	4294967295	255	0	[ba00ff][ba00ff]完美升级石[-]	[f4e4c6][f0b427]54[-]元宝	购买后，可获得相应金币数量		
3004	4	2	100340201	3	11	2100	4294967295	255	0	[ba00ff][ba00ff]完美升星石[-]	[f4e4c6][f0b427]54[-]元宝	购买后，可获得相应金币数量		
3004	5	2	100340301	3	11	2200	4294967295	255	0	[ba00ff][ba00ff]完美品质石[-]	[f4e4c6][f0b427]54[-]元宝	购买后，可获得相应金币数量		
3004	6	2	100150101	3	11	2300	4294967295	255	0	[ba00ff][ba00ff]乾坤转星珠[-]	[f4e4c6][f0b427]30[-]元宝	购买后，可获得相应金币数量		
3004	7	2	100150201	3	11	2400	4294967295	255	0	[ba00ff][ba00ff]体力丹[-]	[f4e4c6][f0b427]20[-]元宝	购买后，可获得相应金币数量		
3004	8	2	220040001	3	11	2000	4294967295	255	0	[8e4bbc][8e4bbc]洗练石[-]	[f4e4c6][f0b427]21[-]元宝	购买后，可获得相应金币数量		
3004	9	2	100120501	3	11	1	4294967295	255	0	[8e4bbc][8e4bbc]凝碧剑[-]	[f4e4c6][f0b427]1[-]元宝	是一把测试装备		
3004	10	2	100130601	3	11	1	4294967295	255	0	[8e4bbc][8e4bbc]玉女剑[-]	[f4e4c6][f0b427]1[-]元宝	是一把测试装备		
3004	11	2	101211001	3	11	1	4294967295	255	0	[8e4bbc][8e4bbc]天火圣衣[-]	[f4e4c6][f0b427]1[-]元宝	是一把测试装备		
3004	12	2	101350501	3	11	1	4294967295	255	0	[8e4bbc][8e4bbc]金蚕甲[-]	[f4e4c6][f0b427]1[-]元宝	是一把测试装备		
3004	13	2	331000001	1	11	1	4294967295	255	0	[00ff00]黄宝石	[f4e4c6][f0b427]1[-]元宝	增加武功		
3004	14	2	331000002	1	11	1	4294967295	255	0	[0099ff]无暇黄宝石	[f4e4c6][f0b427]1[-]元宝	增加武功		
3004	15	2	331000003	1	11	1	4294967295	255	0	[ce5dd4]完美黄宝石	[f4e4c6][f0b427]1[-]元宝	增加武功		
3004	16	2	331000004	1	11	1	4294967295	255	0	[eeb508]璀璨黄宝石	[f4e4c6][f0b427]1[-]元宝	增加武功		
3004	17	2	331010001	1	11	1	4294967295	255	0	[00ff00]绿宝石	[f4e4c6][f0b427]1[-]元宝	增加身手		
3004	18	2	331010002	1	11	1	4294967295	255	0	[0099ff]无暇绿宝石	[f4e4c6][f0b427]1[-]元宝	增加身手		
3004	19	2	331010003	1	11	1	4294967295	255	0	[ce5dd4]完美绿宝石	[f4e4c6][f0b427]1[-]元宝	增加身手		
3004	20	2	331010004	1	11	1	4294967295	255	0	[eeb508]璀璨绿宝石	[f4e4c6][f0b427]1[-]元宝	增加身手		
3004	21	2	331020001	1	11	1	4294967295	255	0	[00ff00]蓝宝石	[f4e4c6][f0b427]1[-]元宝	增加内力		
3004	22	2	331020002	1	11	1	4294967295	255	0	[0099ff]无暇蓝宝石	[f4e4c6][f0b427]1[-]元宝	增加内力		
3004	23	2	331020003	1	11	1	4294967295	255	0	[ce5dd4]完美蓝宝石	[f4e4c6][f0b427]1[-]元宝	增加内力		
3004	24	2	331020004	1	11	1	4294967295	255	0	[eeb508]璀璨蓝宝石	[f4e4c6][f0b427]1[-]元宝	增加内力		
3004	25	2	331030001	1	11	1	4294967295	255	0	[00ff00]沉默宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率沉默对手		
3004	26	2	331030002	1	11	1	4294967295	255	0	[0099ff]无暇沉默宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率沉默对手		
3004	27	2	331030003	1	11	1	4294967295	255	0	[ce5dd4]完美沉默宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率沉默对手		
3004	28	2	331030004	1	11	1	4294967295	255	0	[eeb508]璀璨沉默宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率沉默对手		
3004	29	2	331040001	1	11	1	4294967295	255	0	[00ff00]缓慢宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率缓慢对手		
3004	30	2	331040002	1	11	1	4294967295	255	0	[0099ff]无暇缓慢宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率缓慢对手		
3004	31	2	331040003	1	11	1	4294967295	255	0	[ce5dd4]完美缓慢宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率缓慢对手		
3004	32	2	331040004	1	11	1	4294967295	255	0	[eeb508]璀璨缓慢宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率缓慢对手		
3004	33	2	331050001	1	11	1	4294967295	255	0	[00ff00]流血宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发流血		
3004	34	2	331050002	1	11	1	4294967295	255	0	[0099ff]无暇流血宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发流血		
3004	35	2	331050003	1	11	1	4294967295	255	0	[ce5dd4]完美流血宝石	[f4e4c6][f0b427]1[-]元宝	攻击有概率引发流血		
