服务器输出文件名	config_monster_factory.xml	根名称	root									
41	30012	一灯大师	41	0	0	0	0	0	0	0	0	0
42	30013	老顽童	42	0	0	0	0	0	0	0	0	0
43	30014	扫地神僧	43	0	0	0	0	0	0	0	0	0
44	30015	杨过	44	0	0	0	0	0	0	0	0	0
45	30016	金轮法王	45	0	0	0	0	0	0	0	0	0
46	30016	张无忌	46	0	0	0	0	0	0	0	0	0
47	30016	周芷若	47	0	0	0	0	0	0	0	0	0
48	30016	令狐冲	48	0	0	0	0	0	0	0	0	0
49	30020	（正君子）岳不群	49	0	0	0	0	0	0	0	0	0
50	30021	（辟邪剑）岳不群	50	0	0	0	0	0	0	0	0	0
51	30021	任我行	51	0	0	0	0	0	0	0	0	0
52	30023	东方不败	52	0	0	0	0	0	0	0	0	0
53	30024	左冷禅	53	0	0	0	0	0	0	0	0	0
54	30024	傅红雪	54	0	0	0	0	0	0	0	0	0
55	30024	李寻欢	55	0	0	0	0	0	0	0	0	0
56	30024	楚留香	56	0	0	0	0	0	0	0	0	0
57	30024	白发魔女	57	0	0	0	0	0	0	0	0	0
58	30024	西门吹雪	58	0	0	0	0	0	0	0	0	0
59	30024	独孤求败	59	0	0	0	0	0	0	0	0	0
60	30024	黄裳	60	0	0	0	0	0	0	0	0	0
61	30024	达摩	61	0	0	0	0	0	0	0	0	0
62	30024	王重阳	62	0	0	0	0	0	0	0	0	0
63	30034	向雨田	63	0	0	0	0	0	0	0	0	0
64	30024	萧远山（萧峰之父）	64	0	0	0	0	0	0	0	0	0
65	30024	慕容博（慕容复之父）	65	0	0	0	0	0	0	0	0	0
66	20001	叶二娘	66	0	0	0	0	0	0	0	0	0
67	20002	岳老二	67	0	0	0	0	0	0	0	0	0
68	20003	云中鹤	68	0	0	0	0	0	0	0	0	0
69	20004	段延庆	69	0	0	0	0	0	0	0	0	0
70	20005	丁春秋	70	0	0	0	0	0	0	0	0	0
71	20006	梅超风	71	0	0	0	0	0	0	0	0	0
72	20007	金毛狮王	72	0	0	0	0	0	0	0	0	0
73	20008	紫衫龙王（黛绮丝）	73	0	0	0	0	0	0	0	0	0
74	20009	林平之	74	0	0	0	0	0	0	0	0	0
75	20009	白眉鹰王	75	0	0	0	0	0	0	0	0	0
76	20009	青翼蝠王	76	0	0	0	0	0	0	0	0	0
77	20009	鹿杖客	77	0	0	0	0	0	0	0	0	0
78	20009	鹤笔翁	78	0	0	0	0	0	0	0	0	0
79	20014	司空玄（神农帮帮主）	79	0	0	0	0	0	0	0	0	0
80	20015	木婉清（小师妹）	80	0	0	0	0	0	0	0	0	0
81	20016	蜂婆婆（架空人物）	81	0	0	0	0	0	0	0	0	0
82	20017	包不同（金风庄庄主）	82	0	0	0	0	0	0	0	0	0
